page,page_number,region_id,region_role,reading_order_start,reading_order_end,child_box_ids,bbox,quality_score,needs_review,review_reasons,suggested_actions,merge_reasons,text_preview
page_0007,7,page_0007_region_002,content_block,6,7,page_0007_006_paragraph_title|page_0007_007_text,"(336, 1496, 1315, 1741)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة / كل من أعلن فى الصحف أو النشرات أو أي واسطة أخرى عن نفسه كتاجر / أو عن المحل الذي أسسه أو يستثمره للاشتغال بالمعاملات التجارية يُعدّ تاجراً وإن / لم يتخذ التج
page_0008,8,page_0008_region_001,content_block,1,2,page_0008_001_paragraph_title|page_0008_002_text,"(326, 243, 1305, 418)",1.0,False,,,start_region|title_followed_by_body,المادة١ / لا يُعدّ تاجراً من قام بمعاملة تجارية عرضاً إلآ أن المعاملة تكون خاضعة / لأحكام قانون التجارة
page_0008,8,page_0008_region_002,content_block,3,4,page_0008_003_paragraph_title|page_0008_004_text,"(329, 444, 1304, 805)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة ٣ / لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات / الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها / الم
page_0008,8,page_0008_region_003,content_block,5,7,page_0008_005_paragraph_title|page_0008_006_text|page_0008_007_text,"(335, 828, 1312, 1147)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,المادة ٤ / إذا اشتغل العاملون في الدولة الممنوعون من الاتجار قانوناً بالمعاملات / التجارية، فتشملهم الأحكام القانونية المتعلّقة بالصلح الواقي والإفلاس / المادة ٥ / تخضع
page_0008,8,page_0008_region_004,content_block,8,12,page_0008_008_paragraph_title|page_0008_009_paragraph_title|page_0008_010_paragraph_title|page_0008_011_text|page_0008_012_text,"(341, 1190, 1312, 1718)",0.48,True,many_boundary_boxes_in_one_region|mixed_multiple_titles_with_body,review_split_region|review_split_or_keep,new_region_at_layout_boundary|title_fragment_continuation|title_followed_by_body|body_continuation,الثاني / الفصل / التجارة / دفاتر / المادة٦ / التاليين / الإجباريين / ـ على التاجر أن ينظم على الأقل الدفترين / أـ دفتر اليومية يقيد فيه يوماً فيوماً جميع الأعمال التي تعود بوجه
page_0009,9,page_0009_region_001,body_text,1,1,page_0009_001_text,"(346, 234, 1323, 813)",1.0,False,,,start_region,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / بـدفتر جرد يتضمن جرداً سنوياًللموجودا
page_0009,9,page_0009_region_002,content_block,2,3,page_0009_002_paragraph_title|page_0009_003_text,"(341, 826, 1325, 1004)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة / يجب أن تتظم الدفاتر التجارية الإجبارية بحسب التاريخوبلا بياض ولا فراغ / ولا نقل إلى الهامش ولا محو ولا تحشية بين السطور
page_0009,9,page_0009_region_003,content_block,4,5,page_0009_004_paragraph_title|page_0009_005_text,"(342, 1025, 1321, 1205)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة / يجب ترقيم الدفاتر المذكورة والتأشير عليها وتوقيعها من رئيس محكمة البداية / المدنية أو من قاضي الصلح في المدن التي لا توجد فيها محكمة بداية
page_0009,9,page_0009_region_004,content_block,6,7,page_0009_006_paragraph_title|page_0009_007_text,"(472, 1221, 1313, 1340)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة٩ / يجب على التاجر أن يحفظ الدفاتر بعد اختتامها مدّة عشر سنوات
page_0009,9,page_0009_region_005,content_block,8,9,page_0009_008_paragraph_title|page_0009_009_text,"(338, 1551, 1316, 1737)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,١0 المادة‎ / لا ثُسلّم الدفاتر بكاملها إلى القضاء إلآ في أحوال الإرث وقسمة الأموال / المشتركة والشركة والصلح الواقي والإفلاس
page_0010,10,page_0010_region_001,body_text,1,1,page_0010_001_text,"(327, 0, 1287, 102)",1.0,False,,,start_region,
page_0010,10,page_0010_region_002,content_block,2,3,page_0010_002_paragraph_title|page_0010_003_text,"(332, 241, 1302, 483)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة ١‏ ؟ / فيما عدا الأحوال المذكورة في المادة السابقة يمكن علىالدوام عرض الدفاتر / التجارية أو المطالبة بإبرازها لاستخلاص ما يتعلّق منها بالنزاع / وللقاضى أن يأمر
page_0010,10,page_0010_region_003,content_block,4,6,page_0010_004_paragraph_title|page_0010_005_text|page_0010_006_text,"(334, 504, 1306, 773)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,المادة ٢٢ / التنفيذية التي تصدر / يمكن للتجار مسك حساباتهم إلكترونياً وفقاً للتعليمات / عن وزارة الاقتصاد والتجارة / الفصل الثالث
page_0010,10,page_0010_region_004,content_block,7,9,page_0010_007_paragraph_title|page_0010_008_paragraph_title|page_0010_009_text,"(335, 790, 1307, 1173)",0.78,True,mixed_multiple_titles_with_body,review_split_or_keep,new_region_at_layout_boundary|title_fragment_continuation|title_followed_by_body,التجارة / سجل / المادة ٢٣ / سجل التجارة يمكن الجمهور من الحصول على المعلومات الوافية عن كل / المؤسسات التجارية التي تعمل في سورية / وهو أيضاً أداة للشهر يقصد بها جعل من د
page_0010,10,page_0010_region_005,content_block,10,13,page_0010_010_paragraph_title|page_0010_011_text|page_0010_012_text|page_0010_013_text,"(337, 1181, 1311, 1729)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,المادة ٢٤ / ١ينظم لدى وزارة الاقتصاد والتجارة سجل خاص بفروع المؤسسات التجارية / والشركات التي يوجد مركزها خارج سورية / ينظم لدى وزارة الاقتصاد والتجارة فى كل محافظة س
page_0011,11,page_0011_region_001,body_text,1,2,page_0011_001_text|page_0011_002_text,"(338, 211, 1339, 1719)",0.75,True,region_covers_large_page_area,review_split_region,start_region|body_continuation,تسجل أسماء التجار الذي تكون متاجرهم الرئيسية في سورية، مهما كانت / جنسيتهم / المادة ٢٥ / ١يجب على كل تاجر أن يطلب من أمين سجل التجارة في المحافظة التي يوجد / فيها مركزه
page_0012,12,page_0012_region_001,content_block,1,1,page_0012_001_paragraph_title,"(729, 215, 878, 260)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,start_region,المادة ٢٦
page_0012,12,page_0012_region_002,content_block,2,4,page_0012_002_paragraph_title|page_0012_003_reference_content|page_0012_004_reference_content,"(337, 1155, 1314, 1701)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,المادة٧ / ١إن الشركات التي يكون مركزها الرئيسي في سورية مهما كانت جنسيتها، يجب / تسجيلها في سجل التجارة المختص بمنطقة مركزها الرئيسي، ويجب على / مديريها وأعضاء مجلس إ
page_0013,13,page_0013_region_001,content_block,1,3,page_0013_001_paragraph_title|page_0013_002_text|page_0013_003_text,"(358, 890, 1341, 1762)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,start_region|title_followed_by_body|body_continuation,المادة٢٨ / ٢الاسم والنسبة وتاريخ الولادة ومحلها والجنسية لكل من مديري الشركة وأعضاء / مجلس إدارتها ومديريها المعينين لمدّة وجودها أما طلب التسجيل فيقدمه المديرون / وأ
page_0014,14,page_0014_region_001,content_block,1,2,page_0014_001_paragraph_title|page_0014_002_text,"(318, 258, 1297, 444)",1.0,False,,,start_region|title_followed_by_body,المادة ٢٩ / يخضع تسجيل مثل تلك الفروع أو الوكالات لأحكام القانون الخاص بتسجيلها / في سورية
page_0014,14,page_0014_region_002,content_block,3,7,page_0014_003_paragraph_title|page_0014_004_paragraph_title|page_0014_005_text|page_0014_006_text|page_0014_007_text,"(299, 453, 1296, 1232)",0.78,True,mixed_multiple_titles_with_body,review_split_or_keep,new_region_at_layout_boundary|title_fragment_continuation|title_followed_by_body|body_continuation,الشركات المدنية / ٣ / المادة / ١يحدث في أمانة سجل التجارة سجل خاص بالشركات المدنية التي يقع / مركزها الرئيسي في المحافظة تسجل فيه الشركات وفق أحكام المادتين ٢٧ / ٨ من هذا
page_0014,14,page_0014_region_003,content_block,8,10,page_0014_008_paragraph_title|page_0014_009_text|page_0014_010_text,"(325, 1252, 1298, 1492)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,المادة٣١ / -١‏ إذا توفي تاجر أو انقطع عن تعاطي تجارته أو إذا انحلّت إحدى الشركات وجب / شطب التسجيل المختص بهما فى سجل التجارة . / ٢ويجري هذا الشطب مباشرة بمقتضى قرار 
page_0014,14,page_0014_region_004,content_block,11,12,page_0014_011_paragraph_title|page_0014_012_text,"(327, 1513, 1298, 1751)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة ٣٢ / ـكل قيد فى سجل التجارة لم يحدد له ميعاد في المواد السابقة يجب طلب إجرائه / في خلال شهر يبتدى من تاريخ الوثيقة أو العمل الذي يراد قيده / أما الأحكام والقرا
page_0015,15,page_0015_region_001,section_header,1,1,page_0015_001_header,"(378, 27, 414, 101)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,start_region,
page_0015,15,page_0015_region_002,content_block,2,3,page_0015_002_paragraph_title|page_0015_003_text,"(352, 234, 1329, 417)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة ٣٣ / إن جميع التسجيلات والقيود في سجل التجارة تجري بعد تصريح يقدم وفاقاً / للصيغ التي نص عليها
page_0015,15,page_0015_region_003,content_block,4,5,page_0015_004_paragraph_title|page_0015_005_text,"(346, 414, 1324, 665)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة ٣٤ / على أمين سجل التجارة أن يرفض إجراء القيود المطلوبة إذا تبين له أن / التصريحات المقدمة لا تشتمل على كل البيانات المنصوص عليها أو كانت تتعارض / مع الوثائق ا
page_0015,15,page_0015_region_004,content_block,6,7,page_0015_006_paragraph_title|page_0015_007_text,"(343, 675, 1315, 963)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة ٣٥ / ١يجوز لكل شخص أن يطلب إعطاءه نسخة عن القيود المدرجة في السجل مقابل / رسم يحدد من الوزير المختص / ولأمين السجل عند الاقتضاء أن يعطى شهادة بعدم وجود قيوده / ٣
page_0015,15,page_0015_region_005,content_block,8,9,page_0015_008_paragraph_title|page_0015_009_text,"(330, 978, 1308, 1285)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة ٣٦ / لا يجوز أن يذكر في النسخ التي يسلمها أمين السجل / الأحكام المعلنة للإفلاس إذا كان المفلس قد استرد اعتباره /  الأحكام القاضية بالحجر أو تعيين مساعد قضائى إ
page_0015,15,page_0015_region_006,content_block,10,11,page_0015_010_paragraph_title|page_0015_011_text,"(329, 1290, 1307, 1538)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة٣٧ / كل تاجر وكل شركة ملزمين بالتسجيل يجب عليهما أن يذكرا المكان الذي / سجلا فيه ورقم هذا التسجيل فى مراسلاتهما وفواتيرهما ومذكرات التسليم والتعريفات / والمنشور
page_0015,15,page_0015_region_007,body_text,13,13,page_0015_013_text,"(324, 1613, 1295, 1736)",1.0,False,,,new_region_at_layout_boundary,١ـكل تاجر وكل شخص يكلّف بإدارة شركة لا يطلب فيالمراعيد المنصوص / عليها إجراء القيود الإجبارية أو لا يذكر ما يجب ذكره على المراسلات أو الفواتير
page_0016,16,page_0016_region_001,body_text,1,1,page_0016_001_text,"(334, 219, 1311, 656)",1.0,False,,,start_region,وغيرها من الأوراق الصادرة عن محله يعاقب بغرامة تتراوح بين ٠٠٠ / عشرة آلاف و٥٠٠ وخمسين ألف ليرة سورية / ٢ـتحكم بهذه الغرامة محكمة البداية المدنية بناَ على طلب أمين س
page_0016,16,page_0016_region_002,content_block,2,3,page_0016_002_paragraph_title|page_0016_003_text,"(347, 669, 1323, 1466)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة ٣٩ / ١ـكل بيان غير صحيح يقدم عن سوء نية للتسجيل أو للقيد فى سجل التجارة / يعاقب مقدمه بغرامة تتراوح بين٠٠ ألف و٥٠٠خمسة آلاف ليرة / سورية وبالحبس من شهر واحد إل
page_0016,16,page_0016_region_003,content_block,4,5,page_0016_004_paragraph_title|page_0016_005_text,"(359, 1478, 1341, 1721)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة ٤١ / كل شخص طبيعي أو اعتباري يدعي بصفته التجارية أمام المحاكم أو يراجع / لمصلحته بالصفة ذاتها الدوائر الإدارية أو المؤسسات العامة، لا يسمح ادعاؤه ولا / تقبل مر
page_0017,17,page_0017_region_001,content_block,1,4,page_0017_001_paragraph_title|page_0017_002_text|page_0017_003_text|page_0017_004_text,"(370, 246, 1344, 899)",1.0,False,,,start_region|title_followed_by_body|body_continuation,المادة ٤٢ / تفصل محكمة البداية المدنية في المحافظة التي يوجد فيها سجل التجارة، في / كل خلاف يقع بين أمين سجل التجارة وأصحاب العلاقة، بقرار يتخذ في غرفة / المذاكرة، وع
page_0017,17,page_0017_region_002,content_block,5,6,page_0017_005_figure_title|page_0017_006_text,"(368, 1064, 1342, 1495)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة 7 / المتجر مجموعة عناصر مادية وغير مادية تهدف إلى ممارسة مهنة تجارية / يشتمل المتجر مبدئياً على الاسم التجاري والعنوان التجاري والشعار وحق / الاتصال بالزبائن و
page_0017,17,page_0017_region_003,content_block,7,8,page_0017_007_figure_title|page_0017_008_text,"(369, 1506, 1341, 1729)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة 4 6 / إن حقوق صاحب المتجر على مختلف عناصره تنظمها القوانين الخاصة بهذه / العناصر والمبادي الحقوقية العامة /  أما المتجر كمجموعة فيخضع لأحكام هذا القانون
