page,region_id,reading_order_start,reading_order_end,confidence,needs_review,review_reasons,crop_path,text_preview
page_0004,page_0004_region_004,7,8,0.905,False,,layout_output\region_crops\page_0004\page_0004_region_004.png,v3_predict / المادة ٣ / إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه / الاجتهاد القضائى وبمبادئ العدالة والإنصاف والاستقامة التجارية / المادة ٣ / إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه / الاجتهاد ال
page_0004,page_0004_region_005,9,10,0.9361,False,,layout_output\region_crops\page_0004\page_0004_region_005.png,v3_predict / المادة ٤ / ١ على القاضي عند تحديد أثار العمل التجاري أن يطبق العرف المتوطد إلآإذا / ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضاً مع النصوص / التشربعية الإلزامية / المادة ٤ / ١ على القاضي عند تحديد أثار العمل التجاري أن يطبق
page_0005,page_0005_region_001,1,1,0.9259,False,,layout_output\region_crops\page_0005\page_0005_region_001.png,v3_predict / ٢ويُعدّ العرف الخأص والعرف المحلي مرجحين على العرف العام / ٢ويُعدّ العرف الخأص والعرف المحلي مرجحين على العرف العام / /tmp/tmp_ezj9ddp.png / min / general / ٢ويُعدّ العرف الخأص والعرف المحلي مرجحين على العرف العام / ٢ويُعدّ العرف الخأص و
page_0005,page_0005_region_002,2,3,0.9246,False,,layout_output\region_crops\page_0005\page_0005_region_002.png,v3_predict / المادة / إن البورصات التجارية والمعارض والأسواق والمخازن العامة / والمستودعات وسائر المنشأت المُعدّة للتجارة تخضع على قدر الحاجة / لقوانين وأنظمة خاصة / المادة / إن البورصات التجارية والمعارض والأسواق والمخازن العامة / والمستودعات وسائر 
page_0005,page_0005_region_003,4,4,0.4009,False,,layout_output\region_crops\page_0005\page_0005_region_003.png,v3_predict / اي / اي / ما / اي / اي / ما / /tmp/tmp16rous7_.png / min / general / اي / اي / ما / اي / اي / ما / اي / اي / ما / /tmp/tmp16rous7_.png / min / general / اي / اي / ما
page_0005,page_0005_region_004,5,10,0.9345,True,multiple_low_layout_scores,layout_output\region_crops\page_0005\page_0005_region_004.png,v3_predict / المادة / ثُعدّ بحكم ماهيتها الذاتية أعمالاًتجارية / أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها / أم بعد شغلها أو تحويلها / ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استثجارها لأجل تأجيرها / ثاني
page_0006,page_0006_region_001,1,7,0.9459,True,large_gap_between_child_boxes|multiple_low_layout_scores,layout_output\region_crops\page_0006\page_0006_region_001.png,v3_predict / ك مشروع النشر / لمشروع المخازن العامة / ممشروع المناجم والبترول / نمشروع الاشغال العقارية / سمشروع شراء العقارات لبيعها بربح / عمشروع وكالة اشغال / فـكل مشروع لإنشاء وشراء بواخر معدّة للملاحة الداخلية أو الخارجية، بقصد / استثمارها تجاريا
page_0006,page_0006_region_002,8,10,0.9441,True,multiple_low_layout_scores,layout_output\region_crops\page_0006\page_0006_region_002.png,v3_predict / سمشروع شراء العقارات لبيعها بربح / عمشروع وكالة اشغال / فكل مشروع لإنشاء وشراء بواخر معدّة للملاحة الداخلية أو الخارجية، بقصد / استثمارها تجارياً أو بيعها وكل بيع للبواخر المشتراة على هذا الوجه / سمشروع شراء العقارات لبيعها بربح / عمشروع
page_0006,page_0006_region_003,11,12,0.9534,False,,layout_output\region_crops\page_0006\page_0006_region_003.png,v3_predict / خوسائر العقود المختصة بالتجارة البحرية كالاتفاقات والمقاولات على أجور البحار / وبدل خدمتهم واستخدامهم للعمل على بواخر تجارية / خوسائر العقود المختصة بالتجارة البحرية كالاتفاقات والمقاولات على أجور البحار / وبدل خدمتهم واستخدامهم للعمل عل
page_0006,page_0006_region_004,13,14,0.976,False,,layout_output\region_crops\page_0006\page_0006_region_004.png,v3_predict / المادة / وثُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن / اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها / المادة / وثُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن / اعتبارها مجان
page_0006,page_0006_region_005,15,18,0.9391,False,,layout_output\region_crops\page_0006\page_0006_region_005.png,v3_predict / المادة ٨ / ١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر / القانون / وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس / المادة ٨ / ١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته 
page_0007,page_0007_region_001,1,6,0.7116,False,,layout_output\region_crops\page_0007\page_0007_region_001.png,v3_predict / لي / اع / اعل / اي   و  يو   ي / ا ه / اا / أ الأشخاص الذين تكون مهنتهم القيام بأعمال تجارية / بالشركات التي يكون موضوعها تجارياً / الشركات التى يكون موضوعها مدنياً ولكنها اتخذت صفة الشركات المساهمة أو / الشركات المحدودة المسؤولية، فتخضع
page_0007,page_0007_region_002,7,8,0.9617,False,,layout_output\region_crops\page_0007\page_0007_region_002.png,v3_predict / المادة / إن الأفراد الذين يتعاطون تجارة صغيرة أو حرفة بسيطة ذات نفقات عامة / زهيدة بحيث يعتمدون في الغالب على مساعيهم البدنية للحصول على أرباح قليلة / لتأمين معيشهم أكثر من استنادهم إلى رأس ما لهم النقدي، كالبائع الطواف أو البائع / بالمي
page_0007,page_0007_region_003,9,10,0.9227,False,,layout_output\region_crops\page_0007\page_0007_region_003.png,v3_predict / المادة / كل من أعلن فى الصحف أو النشرات أو أي واسطة أخرى عن نفسه كتاجر / أو عن المحل الذي أسسه أو يستثمره لاشتغال بالمعاملات التجارية يعدّ تاجراًوإن / لم يتخذ التجارة مهنة مألوفة له / المادة / كل من أعلن فى الصحف أو النشرات أو أي واسطة أ
page_0008,page_0008_region_001,1,2,0.9332,False,,layout_output\region_crops\page_0008\page_0008_region_001.png,v3_predict / المادة / لا يُعدّ تاجراً من قام بمعاملة تجارية عرضاً إلآ أن المعاملة تكون خاضعة / لأحكام قانون التجارة / المادة / لا يُعدّ تاجراً من قام بمعاملة تجارية عرضاً إلآ أن المعاملة تكون خاضعة / لأحكام قانون التجارة / /tmp/tmphf8kkdcz.png / min 
page_0008,page_0008_region_002,3,7,0.9419,True,multiple_low_layout_scores,layout_output\region_crops\page_0008\page_0008_region_002.png,v3_predict / المادة ٣ / ١لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات / الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها / المذكورة تكون خاضعة لأحكام قانون التجارة / ٢ـتعتبر المؤسسات العامة وشركات
page_0008,page_0008_region_003,8,11,0.9367,False,,layout_output\region_crops\page_0008\page_0008_region_003.png,v3_predict / المادة ٤ / إذا اشتغل العاملون في الدولة الممنوعون من الاتجار قانوناً بالمعاملات / التجارية، فتشملهم الأحكام القانونية المتعلّقة بالصلح الواقي والإفلاس / المادة ٥ / تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار / الم
page_0008,page_0008_region_004,12,12,0.7817,True,single_boundary_region,layout_output\region_crops\page_0008\page_0008_region_004.png,v3_predict / المادة٥ / المادة٥ / /tmp/tmpswgyq0nm.png / min / general / المادة٥ / المادة٥ / المادة٥ / /tmp/tmpswgyq0nm.png / min / general / المادة٥
page_0008,page_0008_region_005,13,18,0.9458,True,many_boundary_boxes_in_one_region|mixed_multiple_titles_with_body,layout_output\region_crops\page_0008\page_0008_region_005.png,v3_predict / الفصل الثاني / دفاتر التجارة / المادة / ١ على التاجر أن ينظم على الأقل الدفترين الإجباريين التاليين / أ دفتر اليومية يقيد فيه يوماً فيوماً جميع الأعمال التى تعود بوجه من الوجوه / إلى مؤسسته التجارية وأن يقيد بالجملة شهراً فشهراً النفقات 
page_0009,page_0009_region_001,1,5,0.9205,True,large_gap_between_child_boxes|region_covers_large_page_area|very_tall_multi_box_region|multiple_low_layout_scores,layout_output\region_crops\page_0009\page_0009_region_001.png,v3_predict / القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / ب دفتر جرد يتضمن جرداً سنوياًللموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الم
page_0009,page_0009_region_002,6,6,0.9632,False,,layout_output\region_crops\page_0009\page_0009_region_002.png,v3_predict / وعليه أن يحفظ ويرتب المراسلات التي يتلقاها وصور المراسلات التي / يرسلها / وعليه أن يحفظ ويرتب المراسلات التي يتلقاها وصور المراسلات التي / يرسلها / /tmp/tmpxc96lj3o.png / min / general / وعليه أن يحفظ ويرتب المراسلات التي يتلقاها وصور ال
page_0009,page_0009_region_003,7,7,0.9521,False,,layout_output\region_crops\page_0009\page_0009_region_003.png,v3_predict / لا ئسلّم الدفاتر بكاملها إلى القضاء إلآفي أحوال الإرث وقسمة الأموال / المشتركة والشركة والصلح الواقي والإفلاس / لا ئسلّم الدفاتر بكاملها إلى القضاء إلآفي أحوال الإرث وقسمة الأموال / المشتركة والشركة والصلح الواقي والإفلاس / /tmp/tmp3sy6z
page_0009,page_0009_region_004,8,9,0.9466,False,,layout_output\region_crops\page_0009\page_0009_region_004.png,v3_predict / ١يجب على التاجر أن يحفظ الدفاتر بعد اختتامها مدّة عشر سنوات / ٢للمؤسسات التجارية التى يعينها وزير الاقتصاد والتجارة أن تحتفظ للمدّة المذكورة / في الفقرة السابقة بالصورة بأية وسيلة إلكترونية تعتمدها وزارة الاقتصاد والتجارة / بدلاً من الأص
page_0009,page_0009_region_005,10,11,0.9517,False,,layout_output\region_crops\page_0009\page_0009_region_005.png,v3_predict / بدفتر جرد يتضمن جرداً سنوياًللموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر / وينسخها في دفتر الجرد / وعليه أن يفظ ويرتب المراسلات التي يتلقاها وصور المراسلات التي / يرسلها /
page_0009,page_0009_region_006,12,14,0.9625,True,multiple_low_layout_scores,layout_output\region_crops\page_0009\page_0009_region_006.png,v3_predict / القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في ال
page_0009,page_0009_region_007,15,15,0.8787,True,single_boundary_region,layout_output\region_crops\page_0009\page_0009_region_007.png,v3_predict / المادة١ / المادة١ / /tmp/tmphmuuufj3.png / min / general / المادة١ / المادة١ / المادة١ / /tmp/tmphmuuufj3.png / min / general / المادة١
page_0009,page_0009_region_008,16,16,0.8604,True,single_boundary_region,layout_output\region_crops\page_0009\page_0009_region_008.png,v3_predict / المادة٨ / المادة٨ / /tmp/tmp2ngcx5at.png / min / general / المادة٨ / المادة٨ / المادة٨ / /tmp/tmp2ngcx5at.png / min / general / المادة٨
page_0009,page_0009_region_009,17,17,0.9313,True,single_boundary_region,layout_output\region_crops\page_0009\page_0009_region_009.png,v3_predict / المادة٩ / المادة٩ / /tmp/tmpfuou_2ic.png / min / general / المادة٩ / المادة٩ / المادة٩ / /tmp/tmpfuou_2ic.png / min / general / المادة٩
page_0010,page_0010_region_001,1,1,,False,,layout_output\region_crops\page_0010\page_0010_region_001.png,v3_predict / /tmp/tmpy4g0w3db.png / min / general / /tmp/tmpy4g0w3db.png / min / general
page_0010,page_0010_region_002,2,4,0.9237,False,,layout_output\region_crops\page_0010\page_0010_region_002.png,v3_predict / المادة / فيما عدا الأحوال المذكورة في المادة السابقة يمكن على الدوام عرض الدفاتر / التجارية أو المطالبة بإبرازها لاستخلاص ما يتعلّق منها بالنزاع / وللقاضى أن يأمر من تلقاء نفسه الدفاتر المذكورة للغاية ذاتها / المادة / فيما عدا الأحوال ال
page_0010,page_0010_region_003,5,7,0.9332,False,,layout_output\region_crops\page_0010\page_0010_region_003.png,v3_predict / المادة ٢٢ / يمكن للتجار مسك حساباتهم إلكترونياً وفقا للتعليمات التنفيذية التي تصدر / عن وزارة الاقتصاد والتجارة / الفصل الثالث / المادة ٢٢ / يمكن للتجار مسك حساباتهم إلكترونياً وفقا للتعليمات التنفيذية التي تصدر / عن وزارة الاقتصاد والتج
page_0010,page_0010_region_004,8,12,0.4165,True,mixed_multiple_titles_with_body,layout_output\region_crops\page_0010\page_0010_region_004.png,v3_predict / ١٣٢ / ل ي ي  ي ي   ي لل يليلي ي لةي ي ي / ل  ي    ي / ي  لم يل ل   ي  ي يةي ة يه  ييو   ي ا يةي وي / ي ي   ي / ١٣٢ / ل ي ي  ي ي   ي لل يليلي ي لةي ي ي / ل  ي    ي / ي  لم يل ل   ي  ي يةي ة يه  ييو   ي ا يةي وي / ي ي   ي / /tmp/tmp7yhoxi8
page_0010,page_0010_region_005,13,16,0.9401,False,,layout_output\region_crops\page_0010\page_0010_region_005.png,v3_predict / المادة ٤٤ / ١ينظم لدى وزارة الاقتصاد والتجارة سجل خاص بفروع المؤسسات التجارية / والشركات التي يوجد مركزها خارج سورية / ٢ينظم لدى وزارة الاقتصاد والتجارة فى كل محافظة سجل لتسجيل أسماء التجار / والشركات التجارية والشركات المدنية وباقي المؤ
page_0011,page_0011_region_001,1,2,0.8924,True,region_covers_large_page_area,layout_output\region_crops\page_0011\page_0011_region_001.png,v3_predict / تسجل أسماء التجار الذي تكون متاجرهم الرئيسية في سورية، مهما كانت / جنسيتهم / المادة ٢٥ / يجب على كل تاجر أن يطلب من أمين سجل التجارة في المحافظة التي يوجد / فيها مركزه الرئيسي أن يسجل اسمه في سجل التجارة في خلال شهر واحد من / تاريخ فتح ا
page_0011,page_0011_region_002,3,3,0.8333,True,single_boundary_region,layout_output\region_crops\page_0011\page_0011_region_002.png,v3_predict / المادة ٢٥ / المادة ٢٥ / /tmp/tmp1__vdfzr.png / min / general / المادة ٢٥ / المادة ٢٥ / المادة ٢٥ / /tmp/tmp1__vdfzr.png / min / general / المادة ٢٥
page_0012,page_0012_region_001,1,3,0.9441,True,region_covers_large_page_area,layout_output\region_crops\page_0012\page_0012_region_001.png,v3_predict / المادة٢ / ١يجب أن يذكر في سجل التجارة / أـ كل تعديل يتعلق بالأمور التي تقضي المادة السابقة بقيدها في السجل / ب شهادات الاختراع التي يستثمرها التاجر والعلامات التي يستعملها للمصنع / أو التجارة / جالأحكام والقرارات القاضية بتعيين وصيّ عليه
page_0012,page_0012_region_002,4,4,0.9471,False,,layout_output\region_crops\page_0012\page_0012_region_002.png,v3_predict / ١يجب أن يذكر في سجل التجارة / أـ كل تعديل يتعلّق بالأمور التي تقضي المادة السابقة بقيدها في السجل / بشهادات الاختراع التي يستثمرها التاجر والعلامات التي يستعملها للمصنع / أو التجارة / جالأحكام والقرارات القاضية بتعين وصيّ عليه أو قيم أو 
page_0012,page_0012_region_003,5,5,0.9345,True,single_boundary_region,layout_output\region_crops\page_0012\page_0012_region_003.png,v3_predict / المادة٧ / المادة٧ / /tmp/tmp47upn3i3.png / min / general / المادة٧ / المادة٧ / المادة٧ / /tmp/tmp47upn3i3.png / min / general / المادة٧
page_0012,page_0012_region_004,6,6,0.9286,True,single_boundary_region,layout_output\region_crops\page_0012\page_0012_region_004.png,v3_predict / المادة٢٦ / المادة٢٦ / /tmp/tmpy0i3q8t1.png / min / general / المادة٢٦ / المادة٢٦ / المادة٢٦ / /tmp/tmpy0i3q8t1.png / min / general / المادة٢٦
page_0013,page_0013_region_001,1,4,0.9481,True,region_covers_large_page_area|multiple_low_layout_scores,layout_output\region_crops\page_0013\page_0013_region_001.png,v3_predict / أـ اسم ونسبة كل من الشركاء ما عدا المساهمين وجنسية كل منهم موضحة / وفقاً لما ورد في الفقرة د من المادة ٢٥وتاريخ ولادته ومحلها / باسم الشركة التجاري أو عنوانها / جموضوع الشركة / د الأماكن التي فيها مركز الشركة أو فروعها ومتاجرها في سورية 
page_0013,page_0013_region_002,5,5,0.94,False,,layout_output\region_crops\page_0013\page_0013_region_002.png,v3_predict / أ اسم ونسبة كل من الشركاء ما عدا المساهمين وجنسية كل منهم موضحة / وفقاً لما ورد في الفقرة دمن المادة ٢٥وتاريخ ولادته ومحلها / باسم الشركة التجاري أو عنوانها / جموضوع الشركة / د الأماكن التي فيها مركز الشركة أو فروعها ومتاجرها في سورية أو
page_0013,page_0013_region_003,6,6,0.8346,True,single_boundary_region,layout_output\region_crops\page_0013\page_0013_region_003.png,v3_predict / المادة٨ / المادة٨ / /tmp/tmpaxpymy4h.png / min / general / المادة٨ / المادة٨ / المادة٨ / /tmp/tmpaxpymy4h.png / min / general / المادة٨
page_0014,page_0014_region_001,1,2,0.9568,False,,layout_output\region_crops\page_0014\page_0014_region_001.png,v3_predict / المادة ٢٩ / يخضع تسجيل مثل تلك الفروع أو الوكالات لأحكام القانون الخاص بتسجيلها / في سورية / المادة ٢٩ / يخضع تسجيل مثل تلك الفروع أو الوكالات لأحكام القانون الخاص بتسجيلها / في سورية / /tmp/tmpxq8ob212.png / min / general / المادة ٢٩ / 
page_0014,page_0014_region_002,3,7,0.9472,True,mixed_multiple_titles_with_body,layout_output\region_crops\page_0014\page_0014_region_002.png,v3_predict / الشركات المدنية / المادة٣ / سيحدث في أمانة سجل التجارة سجل خاص بالشركات المدنية التي يقع / مركزها الرئيسي في المحافظة تسجل فيه الشركات وفق أحكام المادتين ٢٧ / و٢٨ من هذا القانون باستثناء ما يتوقف العمل به على الصفة التجارية / للشركة / تس
page_0014,page_0014_region_003,8,10,0.9566,False,,layout_output\region_crops\page_0014\page_0014_region_003.png,v3_predict / المادة٣ / إذا توفي تاجر أو انقطع عن تعاطي تجارته أو إذا انحلت إحدى الشركات وجب / شطب التسجيل المختص بهما في سجل التجارة / ٢ويجري هذا الشطب مباشرة بمقتضى قرار يصدره أمين سجل التجارة / المادة٣ / إذا توفي تاجر أو انقطع عن تعاطي تجارته أو إذ
page_0014,page_0014_region_004,11,13,0.9517,False,,layout_output\region_crops\page_0014\page_0014_region_004.png,v3_predict / المادة ٣٢ / كل قيد فى سجل التجارة لم يحدد له ميعاد في المواد السابقة يجب طلب إجرائه / في خلال شهر يبتدىئ من تاريخ الوثيقة أو العمل الذي يراد قيده / أما الأحكام والقرارات فيبتدى ميعادها من يوم صدورها / المادة ٣٢ / كل قيد فى سجل التجارة لم
page_0015,page_0015_region_001,1,1,,True,single_boundary_region,layout_output\region_crops\page_0015\page_0015_region_001.png,v3_predict / /tmp/tmpw4helbtk.png / min / general / /tmp/tmpw4helbtk.png / min / general
page_0015,page_0015_region_002,2,3,0.9628,False,,layout_output\region_crops\page_0015\page_0015_region_002.png,v3_predict / المادة ٣٣ / إن جميع التسجيلات والقيود في سجل التجارة تجري بعد تصريح يقدم وفاقاً / للصيغ التي نص عليها / المادة ٣٣ / إن جميع التسجيلات والقيود في سجل التجارة تجري بعد تصريح يقدم وفاقاً / للصيغ التي نص عليها / /tmp/tmpdyxptn_3.png / min / 
page_0015,page_0015_region_003,4,5,0.9622,False,,layout_output\region_crops\page_0015\page_0015_region_003.png,v3_predict / المادة ٣٤ / على أمين سجل التجارة أن يرفض إجراء القيود المطلوبة إذا تبين له أن / التصريحات المقدمة لا تشتمل على كل البيانات المنصوص عليها أو كانت تتعارض / مع الوثائق الثبوتية المرفقة بها أو مع أحكام القانون / المادة ٣٤ / على أمين سجل التج
page_0015,page_0015_region_004,6,11,0.9422,True,multiple_low_layout_scores,layout_output\region_crops\page_0015\page_0015_region_004.png,v3_predict / المادة ٣٥ / يجوز لكل شخص أن يطلب إعطاءه نسخة عن القيود المدرجة في السجل مقابل / رسم يحدد من الوزير المختص / ٢ولأمين السجل عند الإقتضاء أن يعطي شهادة بعدم وجود قيود / ٣ويصدّق أمين السجل مطابقة النسخ للأصل / المادة ٣٥ / يجوز لكل شخص أن يطل
page_0015,page_0015_region_005,12,17,0.9339,False,,layout_output\region_crops\page_0015\page_0015_region_005.png,v3_predict / المأدة ٣٦ / لا يجوز أن يذكر في النسخ التي يسلمها أمين السجل / الأحكام المعلنة للإفلاس إذا كان المفلس قد استرد اعتباره / الأحكام القاضية بالحجر أو تعيين مساعد قضائى إذا كان قد صدر القرار برفع / الحجر أو المساعدة القضائية / المأدة ٣٦ / لا 
page_0015,page_0015_region_006,18,19,0.9694,False,,layout_output\region_crops\page_0015\page_0015_region_006.png,v3_predict / المادة٣٧ / كل تاجر وكل شركة ملزمين بالتسجيل يجب عليهما أن يذكرا المكان الذي / سجلا فيه ورقم هذا التسجيل في مراسلاتهما وفواتيرهما ومذكرات التسليم والتعريفات / والمنشورات وسائر الأوراق الصادرة عنهما / المادة٣٧ / كل تاجر وكل شركة ملزمين بال
page_0015,page_0015_region_007,21,21,0.9511,False,,layout_output\region_crops\page_0015\page_0015_region_007.png,v3_predict / ١كل تاجر وكل شخص يكلف بإدارة شركة لا يطلب في المراعيد المنصوص / عليها إجراء القيود الإجبارية أو لايذكر ما يجب ذكره على المراسلات أو الفواتير / ١كل تاجر وكل شخص يكلف بإدارة شركة لا يطلب في المراعيد المنصوص / عليها إجراء القيود الإجبارية أ
page_0016,page_0016_region_001,1,6,0.9408,True,multiple_low_layout_scores,layout_output\region_crops\page_0016\page_0016_region_001.png,v3_predict / وغيرها من الأوراق الصادرة عن محله يعاقب بغرامة تتراوح بين ١٠٠٠٠ / عشرة آلاف و٥٠٠٠٠وخمسين ألف ليرة سورية / ٢ـتحكم بهذه الغرامة محكمة البداية المدنية بناء على طلب أمين سجل التجارة أو / النيابة العامة بعد سماع أقوال صاحب الشأن أو دعوته بحسب
page_0016,page_0016_region_002,7,7,0.918,True,single_boundary_region,layout_output\region_crops\page_0016\page_0016_region_002.png,v3_predict / المادة ٣٩ / المادة ٣٩ / /tmp/tmpo9zpczhq.png / min / general / المادة ٣٩ / المادة ٣٩ / المادة ٣٩ / /tmp/tmpo9zpczhq.png / min / general / المادة ٣٩
page_0016,page_0016_region_003,8,15,0.9487,True,multiple_low_layout_scores,layout_output\region_crops\page_0016\page_0016_region_003.png,v3_predict / ١كل بيان غير صحيح يقدم عن سوع نية للتسجيل أو للقيد في سجل التجارة / يعاقب مقدمه بغرامة تتراوح بين ١٠٠٠ ألف و٥٠٠٠ خمسة آلاف ليرة / سورية وبالحبس من شهر واحد إلى ستة أشهر، أو بإحدى هاتين العقوبتين / ولا يحول ذلك دون العقوبات التى يمكن الحك
page_0016,page_0016_region_004,16,16,0.9267,True,single_boundary_region,layout_output\region_crops\page_0016\page_0016_region_004.png,v3_predict / المادة٤ / المادة٤ / /tmp/tmppgu9hhws.png / min / general / المادة٤ / المادة٤ / المادة٤ / /tmp/tmppgu9hhws.png / min / general / المادة٤
page_0016,page_0016_region_005,17,18,0.9394,False,,layout_output\region_crops\page_0016\page_0016_region_005.png,v3_predict / المادة ٤ / كل شخص طبيعي أو اعتباري يدعي بصفته التجارية أمام المحاكم أو يراجع / لمصلحته بالصفة ذاتها الدوائر الإدارية أو المؤسسات العامة، لا يسمح ادعاؤه ولا / تقبل مراجعته ما لم يكن مسجلاً في سجل التجارة / المادة ٤ / كل شخص طبيعي أو اعتبا
