chunk_id,chunk_type,article_number,page_start,page_end,book,bab,fasl,box_ids,references,needs_review,review_reasons,text_preview
article_7,article,7,6,6,,,,page_0006_raw_0049|page_0006_raw_0048,,False,,المادة / وتُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن / اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها
article_8,article,8,6,7,,,,page_0006_raw_0050|page_0006_raw_0064|page_0006_raw_0052|page_0006_raw_0051|page_0007_raw_0071|page_0007_raw_0073,,False,,المادة / ١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر / القانون / ٢وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس / جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعّ تجارية أيضاً في نظر / التجار
article_9,article,9,7,7,,,الفصل الأول التجار على وجه عام والأهلية المطلوبة للاتجار المادة ٩,page_0007_raw_0074|page_0007_raw_0069,,False,,"المادة / ا - التجار هم / أ- الأشخاص الذين تكون مهنتهم القيام بأعمال تجارية. / ب- الشركات التي يكون موضوعها تجارياً. / ٢- الشركات التي يكون موضوعها مدنيا ولكنها اتخذت صفة الشركات المساهمة أو / الشركات المحدودة المسؤولية فتخضع لجميع التزامات التجارالمعينة في الفصلين / الثاني / والثالث / الآتيين , / ولأحكام الصلح الواقي والإفلاس المقررة في هذا القانون ."
article_10,article,10,7,7,,,الفصل الأول التجار على وجه عام والأهلية المطلوبة للاتجار المادة ٩,page_0007_raw_0075|page_0007_raw_0066,,False,,المادة / إن الأفراد الذين يتعاطون تجارة صغيرة أو حرفة بسيطة ذات نفقات عامة / زهيدة بحيث يعتمدون في الغالب على مساعيهم البدنية للحصول على أرباح قليلة / لتأمين معيشهم أكثر من استادهم إلى رأس ما لهم النقدي، كالبائع الطواف أو البائع / بالمياومة أو الذين يقومون بنقليات صغيرة على البر أو سطح الماء، لا يخضعون / للواجبات المختصة بالدفاتر التجارية ولا لقواعد الشهر ولا لأحكام الإفلاس والصلح / الواقي المنصوص عليها في هذا القانون
article_11,article,11,7,7,,,الفصل الأول التجار على وجه عام والأهلية المطلوبة للاتجار المادة ٩,page_0007_raw_0070|page_0007_raw_0067,,False,,المادة / كل من أعلن في الصحف أو النشرات أو أي واسطة أخرى عن نفسه كتاجر / أو عن المحل الذي أسسه أو يستثمره للاشتغال بالمعاملات التجارية يُعدّ تاجراً وإن / لم يتخذ التجارة مهنة مألوفة له
article_1,article,1,8,8,,,الفصل الأول التجار على وجه عام والأهلية المطلوبة للاتجار المادة ٩,page_0008_raw_0084|page_0008_raw_0077,,False,,المادة١ / لا يُعدّ تاجراً من قام بمعاملة تجارية عرضاً إلآأن المعاملة تكون خاضعة / لأحكام قانون التجارة
article_13,article,13,8,8,,,الفصل الأول التجار على وجه عام والأهلية المطلوبة للاتجار المادة ٩,page_0008_raw_0080|page_0008_raw_0094|page_0008_raw_0079|page_0008_raw_0081|page_0008_raw_0095,,False,,المادة ١٣ / ١لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات / الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها / المذكورة تكون خاضعة لأحكام قانون التجارة / تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها / تجارياً أو منحها القانون هذه الصفة / ٢ـ تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها
article_4,article,4,8,8,,,الفصل الأول التجار على وجه عام والأهلية المطلوبة للاتجار المادة ٩,page_0008_raw_0082|page_0008_raw_0078|page_0008_raw_0092,5->article_5,False,,المادة ٤ / إذا اشتغل العاملون في الدولة الممنوعون من الاتجار قانوناً بالمعاملات / التجارية، فتشملهم الأحكام القانونية المتعلقة بالصلح الواقى والإفلاس / المادة ٥ / تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار
article_15,article,15,8,8,,,الفصل الأول التجار على وجه عام والأهلية المطلوبة للاتجار المادة ٩,page_0008_raw_0087|page_0008_raw_0086|page_0008_raw_0089,,False,,المادة١٥ / تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار / التجارة / دفاتر
article_16,article,16,8,9,,,الفصل الثاني,page_0008_raw_0090|page_0008_raw_0088|page_0008_raw_0085|page_0008_raw_0093|page_0009_raw_0112|page_0009_raw_0103|page_0009_raw_0109|page_0009_raw_0111|page_0009_raw_0114|page_0009_raw_0104|page_0009_raw_0102|page_0009_raw_0107|page_0009_raw_0113,17->article_17|8->article_8|19->None,False,,المادة / التاجر / ا - على / أن ينظم على الأقلآ الدفترين الإجباريين التاليين : / أ دفتر اليومية يقيد فيه يوماً فيوماً جميع الأعمال التي تعود بوجه من الوجوه / إلى مؤسسته التجارية وأن يقيد بالجملة شهراً فشهراً النفقات التي أنفقها على / نفسه وأسرته وإذا كان التاجر يتبع الأسلوب الآلى فى محاسبته أو مسك / الدفاتر يومية مساعدة منظمة وفق أحكام المادتين ١٧و١٨ من هذا / القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / ب دفتر جرد ي
article_17,article,17,9,9,,,الفصل الثاني,page_0009_raw_0097|page_0009_raw_0098,,False,,المادة / يجب أن تنظم الدفاتر التجارية الإجبارية بحسب التاريخ وبلا بياض ولا فراغ / ولا نقل إلى الهامش ولا محو ولا تحشية بين السطور
article_8,article,8,9,9,,,الفصل الثاني,page_0009_raw_0100|page_0009_raw_0101,,False,,المادة٨ / يجب ترقيم الدفاتر المذكورة والتأشير عليها وتوقيعها من رئيس محكمة البداية / المدنية أو من قاضي الصلح في المدن التي لا توجد فيها محكمة بداية
article_9,article,9,9,9,,,الفصل الثاني,page_0009_raw_0099|page_0009_raw_0105|page_0009_raw_0110,,False,,المادة / ٩ / ١يجب على التاجر أن يحفظ الدفاتر بعد اختتامها مدّة عشر سنوات / ٢للمؤسسات التجارية التى يعينها وزير الاقتصاد والتجارة أن تحتفظ للمدّة المذكورة / في الفقرة السابقة بالصورة بأية وسيلة إلكترونية تعتمدها وزارة الاقتصاد والتجارة / بدلاأ من الأصل وتكون للصورة حجية الأصل فى الإثبات
article_10,article,10,9,9,,,الفصل الثاني,page_0009_raw_0108|page_0009_raw_0106,,False,,المادة / لا ثسلّم الدفاتر بكاملها إلى القضاء إلآ في أحوال الإرث وقسمة الأموال / المشتركة والشركة والصلح الواقي والإفلاس
article_21,article,21,10,10,,,الفصل الثاني,page_0010_raw_0124|page_0010_raw_0123|page_0010_raw_0129,,False,,المادة٢١ / فيما عدا الأحوال المذكورة في المادة السابقة يمكن على الدوام عرض الدفاتر / التجارية أو المطالبة بإبرازها لاستخلاص ما يتعلّق منها بالنزاع / وللقاضى أن يأمر من تلقاء نفسه الدفاتر المذكورة للغاية ذاتها / ٢ـوللقاضى أن يأمر من تلقاء نفسه الدفاتر المذكورة للغاية ذاتها
article_22,article,22,10,10,,,الفصل الثاني,page_0010_raw_0118|page_0010_raw_0115|page_0010_raw_0127,,False,,المادة / يمكن للتجار مسك حساباتهم إلكترونياً وفقا للتعليمات التنفيذية التي تصدر / عن وزارة الاقتصاد والتجارة / سجل
article_23,article,23,10,10,,,الفصل الثالث,page_0010_raw_0125|page_0010_raw_0131|page_0010_raw_0122|page_0010_raw_0126,,False,,المادة ٢٣ / سجل التجارة يمكن الجمهور من الحصول على المعلومات الوافية عن كل / المؤسسات التجارية التي تعمل في سورية / ٢وهو أيضاً أداة للشهر يقصد بها جعل من درجاته نافذة في حق الغير عند وجود / نص قانوني صريح بهذا المعنى / ٢ـوهو أيضاً أداة للشهر يقصد بها جعل من درجاته نافذة في حق الغير عند وجود
article_4,article,4,10,11,,,الفصل الثالث,page_0010_raw_0121|page_0010_raw_0119|page_0010_raw_0116|page_0010_raw_0117|page_0011_raw_0132|page_0011_raw_0134,25->None,False,,المادة ٤ / ١ينظم لدى وزارة الاقتصاد والتجارة سجل خاص بفروع المؤسسات التجارية / والشركات التي يوجد مركزها خارج سورية / ٢ينظم لدى وزارة الاقتصاد والتجارة فى كل محافظة سجل لتسجيل أسماء التجار / والشركات التجارية والشركات المدنية وباقي المؤسسات التجارية يُطّلق عليها / سجل التجارة / يتولى مسك السجل موظف يُطلق عليه أمين سجل التجارة وعليه أن يباشر / وظيفته أن يحلف اليمين أمام محكمة البداية المدنية، على أن يقوم بوظيفته / بشرف وأمانة / تسجل أسماء التجار الذي تكون متاجرهم الرئيسية في سورية، مهما كانت / جن
article_5,article,5,11,11,,,الفصل الثالث,page_0011_raw_0135,,False,,المادة
article_26,article,26,12,12,,,الفصل الثالث,page_0012_raw_0140|page_0012_raw_0142|page_0012_raw_0137,6->article_6|7->article_7,False,,المادة٢٦ / المادة٦ / ١يجب أن يذكر في سجل التجارة / أـ كل تعديل يتعلّق بالأمور التي تقضي المادة السابقة بقيدها في السجل / بشهادات الاختراع التي يستثمرها التاجر والعلامات التي يستعملها للمصنع / أو التجارة / جالأحكام والقرارات القاضية بتعيين وصيّ عليه أو قيّم أو مساعد قضائي / للتاجر المسجل أو بالحجر عليه أو برفع هذه التدابير عنه / دالأحكام والقرارات المعلنة للإفلاس أو المتضمنة تصديق الصلح أو فسخه / أو إبطاله أو المعلنة لمعذرة المفلس أو القاضية بإغلاق التفليسة لعدم كفاية / الموجودات أو بالعدول عن إغ
article_27,article,27,12,13,,,الفصل الثالث,page_0012_raw_0139|page_0012_raw_0141|page_0012_raw_0138|page_0013_raw_0147|page_0013_raw_0144,25->None|8->article_8,False,,المادة / إن الشركات التي يكون مركزها الرئيسي في سورية مهما كانت جنسيتها، يجب / تسجيلها في سجل التجارة المختص بمنطقة مركزها الرئيسي، ويجب على / مديريها وأعضاء مجلس إدارتها أن يطلبوا التسجيل في خلال الشهر الذي يلي / تأسيسها / ٢حويقدم طالبو التسجيل إلى أمين سجل التجارة صورة مصدقة عن صك تأسيس / الشركة أو نظامها الأساسي وخلاصة لهذا الصك أو النظام مُعدّة للشهر ومنظمة / على نسختين ومشتملة على الطوابع وعلى تواقيع طالبي التسجيل ومتضمنه / بوجه خاص البيانات الآتية / أ اسم ونسبة كل من الشركاء ما عدا المساهم
article_28,article,28,13,13,,,الفصل الثالث,page_0013_raw_0145|page_0013_raw_0149|page_0013_raw_0148|page_0013_raw_0146,,False,,المادة / يجب أن يذكر أيضاً فى سجل التجارة / ١كل تعديل يختص بالأمور واجب تسجيلها أو الوثائق الواجب إيداعها بمقتضى / المادة السابقة / ٢الاسم والنسبة وتاريخ الولادة ومحلها والجنسية لكل من مديري الشركة وأعضاء / مجلس إدارتها ومديريها المعينين لمدّة وجودها أما طلب التسجيل فيقدمه المديرون / وأعضاء مجلس الإدارة القائمون بوظائفهم في وقت وجوب التسجيل / ٣شهادات الاختراع المستثمرة والعلامات التجارية الصناعية التى تستعملها الشركة / ٤ الأحكام أو القرارات القاضية بحل الشركة أو إبطالها / الأحكام أو القرارات الم
article_29,article,29,14,14,,,الفصل الثالث,page_0014_raw_0161|page_0014_raw_0150|page_0014_raw_0158,,False,,المادة / ٢٩ / يخضع تسجيل مثل تلك الفروع أو الوكالات لأحكام القانون الخاص بتسجيلها / في سورية / الشركات المدنية
article_3,article,3,14,14,,,الفصل الثالث,page_0014_raw_0162|page_0014_raw_0152|page_0014_raw_0156|page_0014_raw_0153,,False,,المادة / ٣ / ١يحدث فى أمانة سجل التجارة سجل خاص بالشركات المدنية التي يقع / مركزها الرئيسي في المحافظة تسجل فيه الشركات وفق أحكام المادتين ٢٧ / و٢٨من هذا القانون باستثناء ما يتوقف العمل به على الصفة التجارية / للشركة / ٢ تسجل الشركات المدنية التي يقع مركزها خارج سورية أو لها فرع أو وكالة في / سجل خاص تابع لسجل الفروع والوكالات العائدة للمؤسسات أو الشركات القائمة / خارج سورية وذلك وفق القانون الخاص بها / ٣ـ على الشركات المذكورة في الفقرتين السابقتين تسجيل نفسها في السجل المذكور / وإيداع صك تأسيسه
article_3,article,3,14,14,,,الفصل الثالث,page_0014_raw_0157|page_0014_raw_0155|page_0014_raw_0160,,False,,المادة٣ / إذا توفي تاجر أو انقطع عن تعاطى تجارته أو إذا انحلّت إحدى الشركات وجب / شطب التسجيل المختص بهما فى سجل التجارة / ٢ويجري هذا الشطب مباشرة بمقتضى قرار يصدره أمين سجل التجارة
article_32,article,32,14,14,,,الفصل الثالث,page_0014_raw_0159|page_0014_raw_0151|page_0014_raw_0163,,False,,المادة ٣٢ / ١كل قيد فى سجل التجارة لم يحدد له ميعاد فى المواد السابقة يجب طلب إجرائه / في خلال شهر يبتدئ من تاريخ الوثيقة أو العمل الذي يراد قيده / أما الأحكام والقرارات فيبتدى ميعادها من يوم صدورها / أما الأحكام والقرارات فيبتدئ ميعادها من يوم صدورها
article_33,article,33,15,15,,,الفصل الثالث,page_0015_raw_0167|page_0015_raw_0166,,False,,المادة ٣٣ / إن جميع التسجيلات والقيود في سجل التجارة تجري بعد تصريح يقدم وفاقاً / للصيغ التي نص عليها
article_34,article,34,15,15,,,الفصل الثالث,page_0015_raw_0169|page_0015_raw_0164,,False,,المادة / ٣٤ / على أمين سجل التجارة أن يرفض إجراء القيود المطلوبة إذا تبين له أن / التصريحات المقدمة لا تشتمل على كل البيانات المنصوص عليها أو كانت تتعارض / مع الوثائق الثبوتية المرفقة بها أو مع أحكام القانون
article_35,article,35,15,15,,,الفصل الثالث,page_0015_raw_0170|page_0015_raw_0184|page_0015_raw_0175|page_0015_raw_0182|page_0015_raw_0181|page_0015_raw_0179,,False,,المادة ٣٥ / ١يجوز لكل شخص أن يطلب إعطاءه نسخة عن القيود المدرجة في السجل مقابل / رسم يحدد من الوزير المختص / ٢ولأمين السجل عند الإقتضاء أن يعطى شهادة بعدم وجود قيود / ٣ويصدّق أمين السجل مطابقة النسخ للأصل / ٢ـولأمين السجل عند الإقتضاء أن يعطي شهادة بعدم وجود قيود / ٣ـويصدّق أمين السجل مطابقة النسخ للأصل
article_36,article,36,15,15,,,الفصل الثالث,page_0015_raw_0172|page_0015_raw_0178|page_0015_raw_0176|page_0015_raw_0180|page_0015_raw_0177|page_0015_raw_0183,,False,,المادة٣٦ / لا يجوز أن يذكر في النسخ التي يسلمها أمين السجل / الأحكام المعلنة للإفلاس إذا كان المفلس قد استرد اعتباره / s / الأحكام القاضية بالحجر أو تعيين مساعد قضائى إذا كان قد صدر القرار برفع / الحجر أو المساعدة القضائية / ١ - الأحكام المعلنة للإفلاس إذا / ـ الأحكام القاضية بالحجر أو تعيين مساعد قضائي إذا كان قد صدر القرار برفع
article_37,article,37,15,15,,,الفصل الثالث,page_0015_raw_0174|page_0015_raw_0165,,False,,المادة ٣٧ / كل تاجر وكل شركة ملزمين بالتسجيل يجب عليهما أن يذكرا المكان الذي / سجلا فيه ورقم هذا التسجيل في مراسلاتهما وفواتيرهما ومذكرات التسليم والتعريفات / والمنشورات وسائر الأوراق الصادرة عنهما
article_38,article,38,15,16,,,الفصل الثالث,page_0015_raw_0171|page_0015_raw_0173|page_0016_raw_0192|page_0016_raw_0199|page_0016_raw_0198|page_0016_raw_0201|page_0016_raw_0200|page_0016_raw_0202,,False,,المادة ٣٨ / ١ـكل تاجر وكل شخص يكلف بإدارة شركة لا يطلب في المراعيد المنصوص / عليها إجراء القيود الإجبارية أو لايذكر ما يجب ذكره على المراسلات أو الفواتير / وغيرها من الأوراق الصادرة عن محله يعاقب بغرامة تتراوح بين ١٠٠٠٠ / عشرة آلاف و٥٠٠٠٠ وخمسين ألف ليرة سورية / عشرة آلاف و٥٠٠ وخمسين ألف ليرة سورية / ٢ـتحكم بهذه الغرامة محكمة البداية المدنية بناءَ على طلب أمين سجل التجارة أو / النيابة العامة بعد سماع أقوال صاحب الشأن أو دعوته بحسب الأصول / ٣ـوإذا لم يجر المحكوم عليه أثناء القيد فى أثناء هذا المي
article_39,article,39,16,16,,,الفصل الثالث,page_0016_raw_0193|page_0016_raw_0204|page_0016_raw_0197|page_0016_raw_0194|page_0016_raw_0196|page_0016_raw_0195,4->article_4,False,,المادة ٣٩ / ١ـكل بيان غير صحيح يقدم عن سوع نية للتسجيل أو للقيد فى سجل التجارة / يعاقب مقدمه بغرامة تتراوح بين ١٠٠٠ ألف و٥٠٠٠ خمسة لاف ليرة / سورية وبالحبس من شهر واحد إلى ستة أشهر، أو بإحدى هاتين العقوبتين / ولا يحول ذلك دون العقوبات التى يمكن الحكم بها وفاقاً للقوانين الخاصة ولقانون / العقوبات من أجل الجرائم الناشئة عن البيان غير الصحيح / ٣وللمحكمة الجزائية التي تصدر الحكم أن تأمر بتصحيح البيان المشار إليه على / الوجه الذي تعينه / المادة٤ / البيانات المسجلة سواء أكانت اختيارية أم إجبارية، تعتب
article_4,article,4,16,16,,,الفصل الثالث,page_0016_raw_0188|page_0016_raw_0203|page_0016_raw_0189|page_0016_raw_0191,,False,,المادة / ٤ / ١البيانات المسجلة سواء أكانت اختيارية أم إجبارية، تعتبر نافذة في حق الغير / اعتباراً من تاريخ تسجيلها / ٢ـولا يحول تطبيق العقوبات المقدمة دون نفاذ القاعدة المنصوص عليها بالفقرة / السابقة / ٢ولا يحول تطبيق العقوبات المقدمة دون نفاذ القاعدة المنصوص عليها بالفقرة
article_5,article,5,16,16,,,الفصل الثالث,page_0016_raw_0190|page_0016_raw_0186,,False,,المادة / كل شخص طبيعي أو اعتباري يدعي بصفته التجارية أمام المحاكم أو يراجع / لمصلحته بالصفة ذاتها الدوائر الإدارية أو المؤسسات العامة، لا يسمح ادعاؤه ولا / تقبل مراجعته ما لم يكن مسجلاً في سجل التجارة
article_42,article,42,17,17,,,الفصل الثالث,page_0017_raw_0210|page_0017_raw_0205|page_0017_raw_0206|page_0017_raw_0215,,False,,المادة ٤٢ / ١ تفصل محكمة البداية المدنية في المحافظة التي يوجد فيها سجل التجارة، في / كل خلاف يقع بين أمين سجل التجارة وأصحاب العلاقة، بقرار يتخذ في غرفة / المذاكرة، وعليها إصدار قرارها خلال شهر من تاريخ الادعاء / ٢يخضع قرار محكمة البداية المدنية للطعن بطريق الاستئناف وعلى محكمة / الاستئناف أن تفصل فيه بصورة نهائية وبقرار غير قابل للطعن يصدر خلال / ثلاثة أشهر من تاريخ تقديم الطعن / المتجر
article_43,article,43,17,17,,,الفصل الثالث,page_0017_raw_0214|page_0017_raw_0208,,False,,المادة ٤٣ / المتجر مجموعة عناصر مادية وغير مادية تهدف إلى مارسة مهنة تجارية / يشتمل المتجر مبدئياً على الاسم التجاري والعنوان التجاري والشعار وحق / الاتصال بالزيائن وحق الاستئجار المنصوص عليه فى قوانين الإيجار الخاصة / وتعديلاتهاء، والتجهيزات والعدد الصناعية والأثاث والبراءات والإجازات والرسوم / والنماذج، ما لم يستثن بعض هذه العناصر من محتويات المتجر بالنص على / ذلك في سجل المتجر أو في العقود الواردة عليه
article_44,article,44,17,17,,,الفصل الثالث,page_0017_raw_0212|page_0017_raw_0209|page_0017_raw_0213,,False,,المادة ٤٤ / ١إن حقوق صاحب المتجر على مختلف عناصره تتظمها القوانين الخاصة بهذه / العناصر والمبادي الحقوقية العامة / أما المتجر كمجموعة فيخضع لأحكام هذا القانون / ٢ـأما المتجر كمجموعة فيخضع لأحكام هذا القانون
