page,region_id,label,selected_engine,confidence,selection_reason,crop_path,selected_text
page_0003,page_0003_raw_0001,number,paddleocr_colab_rec_texts,0.987,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0003\page_0003_raw_0001.png,٣
page_0004,page_0004_raw_0032,image,paddleocr_colab_rec_texts,0.9485,image_label_treated_as_text_container_paddle_kept,layout_output\raw_box_crops\page_0004\page_0004_raw_0032.png,التجارة / قانون / الكتاب الأول / التجارة على وم والجار والموات التجاالمتجر / الباب الأول / أحكام عامة / المادة
page_0004,page_0004_raw_0034,text,paddleocr_colab_rec_texts,0.8931,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0004\page_0004_raw_0034.png,أحكام عامة
page_0004,page_0004_raw_0033,figure_title,easyocr,0.7068,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0004\page_0004_raw_0033.png,المادة
page_0004,page_0004_raw_0024,text,paddleocr_colab_rec_texts,0.9593,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0004\page_0004_raw_0024.png,يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي / شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق / على الأشخاص الذين اتخذوا التجارة مهنة
page_0004,page_0004_raw_0028,paragraph_title,easyocr,0.4901,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0004\page_0004_raw_0028.png,المادة
page_0004,page_0004_raw_0027,text,paddleocr_colab_rec_texts,0.9464,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0004\page_0004_raw_0027.png,إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني / ـ على أن تطبق هذه الأحكام لا يكون إلأ على نسبة اتفاقها مع المبادئ المختصة / بالقانون التجاري والعرف التجاري
page_0004,page_0004_raw_0031,paragraph_title,easyocr,0.6577,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0004\page_0004_raw_0031.png,المادة
page_0004,page_0004_raw_0025,text,paddleocr_colab_rec_texts,0.9393,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0004\page_0004_raw_0025.png,إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه / الاجتهاد القضائى وبمباديئ العدالة والإنصاف والاستقامة التجارية
page_0004,page_0004_raw_0030,paragraph_title,easyocr,0.9822,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0004\page_0004_raw_0030.png,المادة
page_0004,page_0004_raw_0026,text,paddleocr_colab_rec_texts,0.9451,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0004\page_0004_raw_0026.png,١ على القاضي عند تحديد أثار العمل التجاري أن يطبق العرف المتوطد إلآإذا / ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضأً مع النصوص / التشريعية الإلزامية
page_0004,page_0004_raw_0029,number,paddleocr_colab_rec_texts,0.7917,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0004\page_0004_raw_0029.png,3
page_0005,page_0005_raw_0040,text,paddleocr_colab_rec_texts,0.9173,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0005\page_0005_raw_0040.png,٢ويعدّ العرف الخأص والعرف المحلي مرجحين على العرف العام
page_0005,page_0005_raw_0041,paragraph_title,easyocr,0.9719,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0005\page_0005_raw_0041.png,المادة
page_0005,page_0005_raw_0035,text,paddleocr_colab_rec_texts,0.9454,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0005\page_0005_raw_0035.png,إن البورصات التجارية والمعارض والأسواق والمخازن العامة / والمستودعات وسائر المنشأت المُعدّة للتجارة تخضع على قدر الحاجة / لقوانين وأنظمة خاصة
page_0005,page_0005_raw_0036,image,paddleocr_colab_rec_texts,0.94,image_label_treated_as_text_container_paddle_kept,layout_output\raw_box_crops\page_0005\page_0005_raw_0036.png,الثاز / الباب / الأعمال التجارية
page_0005,page_0005_raw_0039,figure_title,easyocr,0.6849,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0005\page_0005_raw_0039.png,المادة
page_0005,page_0005_raw_0038,text,paddleocr_colab_rec_texts,0.9512,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0005\page_0005_raw_0038.png,ثُعدّ بحكم ماهيتها الذاتية أعمالاً تجارية / أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها / أم بعد شغلها أو تحويلها / ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استثجارها لأجل تأجيرها / ثانية / جالبيع أو الاستئجار أو التأجير ثانية للأشياء المشتراة أو المستأجرة على الوجه / المبين فيما تقدم / د أعمال الصرافة والمبادلة المالية ومعاملات المصارف العامة والخاصة / ه
page_0005,page_0005_raw_0043,text,paddleocr_colab_rec_texts,0.8867,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0005\page_0005_raw_0043.png,تعدّ بحكم ماهيتها الذاتية أعمالاً تجارية
page_0005,page_0005_raw_0045,text,paddleocr_colab_rec_texts,0.9418,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0005\page_0005_raw_0045.png,أـ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها / أم بعد شغلها أو تحويلها
page_0005,page_0005_raw_0042,text,paddleocr_colab_rec_texts,0.8782,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0005\page_0005_raw_0042.png,ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استئجارها لأجل تأجيرها / ثانية / -
page_0005,page_0005_raw_0044,text,paddleocr_colab_rec_texts,0.9606,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0005\page_0005_raw_0044.png,جالبيع أو الاستئجار أو التأجير ثانية للأشياء المشتراة أو المستأجرة على الوجه / المبين فيما تقدم
page_0005,page_0005_raw_0037,number,paddleocr_colab_rec_texts,0.2692,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0005\page_0005_raw_0037.png,.
page_0006,page_0006_raw_0055,text,paddleocr_colab_rec_texts,0.9329,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0055.png,ك مشروع النشر / ل مشروع المخازن العامة / ممشروع المناجم والبترول / نمشروع الاشغال العقارية / سمشروع شراء العقارات لبيعها بربح / عمشروع وكالة اشغال / فـكل مشروع لإنشاء وشراء بواخر معدّة للملاحة الداخلية أو الخارجية، بقصد / استثمارها تجارياً أو بيعها وكل بيع للبواخر المشتراة على هذا الوجه / صـ جميع الإرساليات البحرية وكل عملية تتعلّق بها كالشراء أو بيع لوازمها من / حبال وأشرعة ومؤن / ث إجارة السفن أ
page_0006,page_0006_raw_0062,text,easyocr,0.6859,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0062.png,ك - مشروع النشر
page_0006,page_0006_raw_0060,text,paddleocr_colab_rec_texts,0.9628,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0060.png,لـمشروع المخازن العامة
page_0006,page_0006_raw_0065,text,paddleocr_colab_rec_texts,0.931,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0065.png,ممشروع المناجم والبترول
page_0006,page_0006_raw_0059,text,paddleocr_colab_rec_texts,0.9589,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0059.png,نمشروع الاشغال العقارية
page_0006,page_0006_raw_0058,text,paddleocr_colab_rec_texts,0.9313,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0058.png,س مشروع شراء العقارات لبيعها بربح
page_0006,page_0006_raw_0061,text,paddleocr_colab_rec_texts,0.9105,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0061.png,عمشروع وكالة اشغال
page_0006,page_0006_raw_0056,text,paddleocr_colab_rec_texts,0.9529,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0056.png,فـكل مشروع لإنشاء وشراء بواخر مُعدّة للملاحة الداخلية أو الخارجية، بقصد / استثمارها تجارياً أو بيعها وكل بيع للبواخر المشتراة على هذا الوجه
page_0006,page_0006_raw_0053,text,paddleocr_colab_rec_texts,0.9332,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0053.png,صـ جميع الإرساليات البحرية وكل عملية تتعلّق بها كالشراء أو بيع لوازمها من / حبال وأشرعة ومؤن
page_0006,page_0006_raw_0054,text,paddleocr_colab_rec_texts,0.4992,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0054.png,للل يي ي لوو يل ل ل لي ي لوي ي
page_0006,page_0006_raw_0057,text,paddleocr_colab_rec_texts,0.9587,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0057.png,خوسائر العقود المختصة بالتجارة البحرية كالاتفاقات والمقاولات على أجور البحار / وبدل خدمتهم واستخدامهم للعمل على بواخر تجارية
page_0006,page_0006_raw_0063,text,paddleocr_colab_rec_texts,0.9884,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0063.png,وبدل خدمتهم واستخدامهم للعمل على بواخر تجارية
page_0006,page_0006_raw_0049,paragraph_title,easyocr,0.9864,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0049.png,المادة
page_0006,page_0006_raw_0048,text,paddleocr_colab_rec_texts,0.9517,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0048.png,وتُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن / اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها
page_0006,page_0006_raw_0050,paragraph_title,easyocr,0.9977,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0050.png,المادة
page_0006,page_0006_raw_0064,text,paddleocr_colab_rec_texts,0.9628,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0064.png,١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر / القانون / ٢وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس
page_0006,page_0006_raw_0052,text,paddleocr_colab_rec_texts,0.9724,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0052.png,جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعّ تجارية أيضاً في نظر / القانون
page_0006,page_0006_raw_0051,text,paddleocr_colab_rec_texts,0.974,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0051.png,٢وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس
page_0006,page_0006_raw_0046,text,paddleocr_colab_rec_texts,0.533,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0046.png,L
page_0006,page_0006_raw_0047,number,paddleocr_colab_rec_texts,0.8425,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0006\page_0006_raw_0047.png,7
page_0007,page_0007_raw_0071,header,easyocr,0.5836,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0007\page_0007_raw_0071.png,الباب الثالث
page_0007,page_0007_raw_0073,text,easyocr,0.3344,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0007\page_0007_raw_0073.png,التجحار
page_0007,page_0007_raw_0076,text,paddleocr_colab_rec_texts,0.8848,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0007\page_0007_raw_0076.png,الفصل الأول
page_0007,page_0007_raw_0072,text,paddleocr_colab_rec_texts,0.9214,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0007\page_0007_raw_0072.png,الفصل الأول / التجار على وجه عام والأهلية المطلوبة للاتجار / المادة ٩
page_0007,page_0007_raw_0074,text,easyocr,0.9929,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0007\page_0007_raw_0074.png,المادة
page_0007,page_0007_raw_0069,text,paddleocr_colab_rec_texts,0.5837,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0007\page_0007_raw_0069.png,ي لي ي ي و مل ي يي / ي ي ي ف / لةي و ي ي ي ي ل ي ييي و يو ل و ة / لي يق ي ي يي ي قووي يلع وي ي لي ل ل مّي ل ل ي ي ي / الع يل ي ل ي ولوم ل ل٥ ول ي ل٥ ي / المادة
page_0007,page_0007_raw_0075,figure_title,easyocr,0.9953,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0007\page_0007_raw_0075.png,المادة
page_0007,page_0007_raw_0066,text,paddleocr_colab_rec_texts,0.9544,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0007\page_0007_raw_0066.png,إن الأفراد الذين يتعاطون تجارة صغيرة أو حرفة بسيطة ذات نفقات عامة / زهيدة بحيث يعتمدون في الغالب على مساعيهم البدنية للحصول على أرباح قليلة / لتأمين معيشهم أكثر من استادهم إلى رأس ما لهم النقدي، كالبائع الطواف أو البائع / بالمياومة أو الذين يقومون بنقليات صغيرة على البر أو سطح الماء، لا يخضعون / للواجبات المختصة بالدفاتر التجارية ولا لقواعد الشهر ولا لأحكام الإفلاس والصلح / الواقي المنصوص عليها في
page_0007,page_0007_raw_0070,paragraph_title,easyocr,0.9981,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0007\page_0007_raw_0070.png,المادة
page_0007,page_0007_raw_0067,text,paddleocr_colab_rec_texts,0.9391,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0007\page_0007_raw_0067.png,كل من أعلن في الصحف أو النشرات أو أي واسطة أخرى عن نفسه كتاجر / أو عن المحل الذي أسسه أو يستثمره للاشتغال بالمعاملات التجارية يُعدّ تاجراً وإن / لم يتخذ التجارة مهنة مألوفة له
page_0007,page_0007_raw_0068,number,paddleocr_colab_rec_texts,0.658,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0007\page_0007_raw_0068.png,V
page_0008,page_0008_raw_0084,paragraph_title,easyocr,0.8254,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0008\page_0008_raw_0084.png,المادة
page_0008,page_0008_raw_0077,text,paddleocr_colab_rec_texts,0.8896,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0077.png,لا يُعدّ تاجراً من قام بمعاملة تجارية عرضاً إلآأن المعاملة تكون خاضعة / لأحكام قانون التجارة
page_0008,page_0008_raw_0080,paragraph_title,easyocr,0.5827,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0008\page_0008_raw_0080.png,المادة ٢
page_0008,page_0008_raw_0094,text,paddleocr_colab_rec_texts,0.9536,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0094.png,١لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات / الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها / المذكورة تكون خاضعة لأحكام قانون التجارة / تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها / تجارياً أو منحها القانون هذه الصفة
page_0008,page_0008_raw_0079,text,paddleocr_colab_rec_texts,0.9395,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0079.png,١لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات / الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها / المذكورة تكون خاضعة لأحكام قانون التجارة
page_0008,page_0008_raw_0081,text,paddleocr_colab_rec_texts,0.9261,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0081.png,٢ـ تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها / تجارياً أو منحها القانون هذه الصفة
page_0008,page_0008_raw_0095,text,paddleocr_colab_rec_texts,0.9814,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0095.png,تجارياً أو منحها القانون هذه الصفة
page_0008,page_0008_raw_0082,paragraph_title,easyocr,0.6778,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0008\page_0008_raw_0082.png,المادة ٤
page_0008,page_0008_raw_0078,text,paddleocr_colab_rec_texts,0.9533,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0078.png,إذا اشتغل العاملون في الدولة الممنوعون من الاتجار قانوناً بالمعاملات / التجارية، فتشملهم الأحكام القانونية المتعلقة بالصلح الواقى والإفلاس
page_0008,page_0008_raw_0092,text,paddleocr_colab_rec_texts,0.8801,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0092.png,المادة ٥ / تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار
page_0008,page_0008_raw_0087,paragraph_title,easyocr,0.797,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0008\page_0008_raw_0087.png,المادة
page_0008,page_0008_raw_0086,text,paddleocr_colab_rec_texts,0.9686,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0086.png,تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار
page_0008,page_0008_raw_0091,paragraph_title,easyocr,0.9776,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0008\page_0008_raw_0091.png,الفصل الثاني
page_0008,page_0008_raw_0089,paragraph_title,easyocr,0.9164,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0008\page_0008_raw_0089.png,دفاتر التجارة
page_0008,page_0008_raw_0090,paragraph_title,easyocr,0.7261,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0008\page_0008_raw_0090.png,المادة
page_0008,page_0008_raw_0088,text,easyocr,0.725,easyocr_used_for_low_paddle_confidence_body,layout_output\raw_box_crops\page_0008\page_0008_raw_0088.png,التاجر / ا - على / أن ينظم على الأقلآ الدفترين الإجباريين التاليين :
page_0008,page_0008_raw_0085,text,paddleocr_colab_rec_texts,0.9458,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0085.png,أ دفتر اليومية يقيد فيه يوماً فيوماً جميع الأعمال التي تعود بوجه من الوجوه / إلى مؤسسته التجارية وأن يقيد بالجملة شهراً فشهراً النفقات التي أنفقها على / نفسه وأسرته وإذا كان التاجر يتبع الأسلوب الآلى فى محاسبته أو مسك / الدفاتر يومية مساعدة منظمة وفق أحكام المادتين ١٧و١٨ من هذا
page_0008,page_0008_raw_0093,text,paddleocr_colab_rec_texts,0.907,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0093.png,الدفاتر يومية مساعدة منظمة وفق أحكام المادتين ١٧و١٨ من هذا
page_0008,page_0008_raw_0083,number,paddleocr_colab_rec_texts,0.2798,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0008\page_0008_raw_0083.png,٨
page_0009,page_0009_raw_0112,text,paddleocr_colab_rec_texts,0.8291,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0009\page_0009_raw_0112.png,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / ب دفتر جرد يتضمن جرداً سنوياً للموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر / وينسخها في دفتر الجرد / وعليه أن يحفظ ويرتب المراسلات التي يتلقاها وصور المراسلات التي / يرسلها / ٣يجب تتظيم دفتري اليومية والجرد 
page_0009,page_0009_raw_0103,text,paddleocr_colab_rec_texts,0.9547,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0009\page_0009_raw_0103.png,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة
page_0009,page_0009_raw_0109,text,paddleocr_colab_rec_texts,0.953,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0009\page_0009_raw_0109.png,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / بدفتر جرد يتضمن جرداً سنوياً للموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر / وينسخها في دفتر الجرد / وعليه أن يحفظ ويرتب المراسلات التي يتلقاها وصور المراسلات التي / يرسلها / ٣يجب تتظيم دفتري اليومية والجرد ب
page_0009,page_0009_raw_0111,text,paddleocr_colab_rec_texts,0.9497,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0009\page_0009_raw_0111.png,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً على أن يحتفظ
page_0009,page_0009_raw_0114,text,paddleocr_colab_rec_texts,0.9762,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0009\page_0009_raw_0114.png,بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة
page_0009,page_0009_raw_0104,text,paddleocr_colab_rec_texts,0.9466,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0009\page_0009_raw_0104.png,بدفتر جرد يتضمن جرداً سنوياً للموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر / وينسخها في دفتر الجرد
