crop_id,page,page_number,order,label,layout_score,x1,y1,x2,y2,width,height,retried,paddle_text,paddle_score,paddle_n_lines,tess_text,tess_score,tess_n_lines,final_source,final_score,text,n_lines,crop_path
page_0004_003_text,page_0004,4,3,text,0.958302915096283,347,837,1325,1007,978,170,False,"يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي
شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق
على الأشخاص الذين اتخذوا التجارة مهنة",0.9556,3,,,0,paddle,0.9556,"يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي
شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق
على الأشخاص الذين اتخذوا التجارة مهنة",3,./crops\page_0004\page_0004_003_text.png
page_0004_004_paragraph_title,page_0004,4,4,paragraph_title,0.798930287361145,773,1033,899,1076,126,43,False,المادة٢,0.9398,1,,,0,paddle,0.9398,المادة٢,1,./crops\page_0004\page_0004_004_paragraph_title.png
page_0004_005_text,page_0004,4,5,text,0.8624343872070312,349,1096,1321,1269,972,173,False,"إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني
٢ على أن تطبق هذه الأحكام لا يكون إلاآً على نسبة اتفاقها مع المبادىئ المختصة
بالقانون التجاري والعرف التجاري",0.9392,3,,,0,paddle,0.9392,"إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني
٢ على أن تطبق هذه الأحكام لا يكون إلاآً على نسبة اتفاقها مع المبادىئ المختصة
بالقانون التجاري والعرف التجاري",3,./crops\page_0004\page_0004_005_text.png
page_0004_006_paragraph_title,page_0004,4,6,paragraph_title,0.744592010974884,774,1293,902,1335,128,42,False,المادة٣,0.9945,1,,,0,paddle,0.9945,المادة٣,1,./crops\page_0004\page_0004_006_paragraph_title.png
page_0004_007_text,page_0004,4,7,text,0.9506476521492004,352,1357,1329,1472,977,115,False,"إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه
الاجتهاد القضائي وبمبادئ العدالة والإنصاف والاستقامة التجارية",0.9664,2,,,0,paddle,0.9664,"إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه
الاجتهاد القضائي وبمبادئ العدالة والإنصاف والاستقامة التجارية",2,./crops\page_0004\page_0004_007_text.png
page_0004_008_paragraph_title,page_0004,4,8,paragraph_title,0.754129946231842,780,1493,904,1534,124,41,False,المادة ٤,0.9107,1,,,0,paddle,0.9107,المادة ٤,1,./crops\page_0004\page_0004_008_paragraph_title.png
page_0004_009_text,page_0004,4,9,text,0.912895143032074,354,1551,1323,1726,969,175,False,"١ على القاضي عند تحديد آثار العمل التجاري أن يطبق العرف المتوطد إلآإذا
ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضاً مع النصوص
التشريعية الإلزامية",0.9521,3,,,0,paddle,0.9521,"١ على القاضي عند تحديد آثار العمل التجاري أن يطبق العرف المتوطد إلآإذا
ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضاً مع النصوص
التشريعية الإلزامية",3,./crops\page_0004\page_0004_009_text.png
page_0004_010_number,page_0004,4,10,number,0.7635974884033203,830,1771,853,1805,23,34,True,A,0.2221,1,1,0.6,1,tesseract,0.6,1,1,./crops\page_0004\page_0004_010_number.png
page_0005_001_text,page_0005,5,1,text,0.5617988705635071,501,233,1316,287,815,54,False,٢ـويُعدّ العرف الخأص والعرف المحلي مرجحين على العرفالعام,0.9287,1,,,0,paddle,0.9287,٢ـويُعدّ العرف الخأص والعرف المحلي مرجحين على العرفالعام,1,./crops\page_0005\page_0005_001_text.png
page_0005_002_paragraph_title,page_0005,5,2,paragraph_title,0.5005205869674683,768,306,895,351,127,45,False,المادة,0.9993,1,,,0,paddle,0.9993,المادة,1,./crops\page_0005\page_0005_002_paragraph_title.png
page_0005_003_text,page_0005,5,3,text,0.9473426342010498,342,370,1321,546,979,176,False,"التجاارية والمعارض والأسواقوالمخازن العامة
إن البورصات
والمستودعات وسائر المنشات المُعدّة للتجارة تخضع على قدر الحاجة
لقوانين وأنظمة خاصة",0.9123,4,,,0,paddle,0.9123,"التجاارية والمعارض والأسواقوالمخازن العامة
إن البورصات
والمستودعات وسائر المنشات المُعدّة للتجارة تخضع على قدر الحاجة
لقوانين وأنظمة خاصة",4,./crops\page_0005\page_0005_003_text.png
page_0005_004_figure_title,page_0005,5,4,figure_title,0.6277923583984375,769,806,895,851,126,45,False,المادة٧,0.9279,1,,,0,paddle,0.9279,المادة٧,1,./crops\page_0005\page_0005_004_figure_title.png
page_0005_005_text,page_0005,5,5,text,0.674835205078125,342,872,1327,1734,985,862,False,"ثعدّ بحكم ماهيتها الذاتية أعمالاً تجارية
أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها
أم بعد شغلها أو تحويلها
ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استثجارها لأجل تأجيرها
ثانية
جالبيع أو الاستئجار أو التأجير ثانية للأشياء المشترة أو المستأجرة على الوجه
المبين فيما تقدم
د أعمال الصرافة والمبادلة المالية ومعاملات المصارف العامة والخاصة
همشروع التوريد
ومشروع المصانع وإن يكن مقترناً باستثمار زراعي، إلآ إذا كان تحويل المواد يتم
بعمل يدوي بسيط
زـ مشروع النقل براً أو جواً أو على سطح الماء
حمشروع الوكالة والسمسرة
طـمشروع التأمين بأنواعه
يمشروع المشاهد العامة",0.9491,15,,,0,paddle,0.9491,"ثعدّ بحكم ماهيتها الذاتية أعمالاً تجارية
أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها
أم بعد شغلها أو تحويلها
ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استثجارها لأجل تأجيرها
ثانية
جالبيع أو الاستئجار أو التأجير ثانية للأشياء المشترة أو المستأجرة على الوجه
المبين فيما تقدم
د أعمال الصرافة والمبادلة المالية ومعاملات المصارف العامة والخاصة
همشروع التوريد
ومشروع المصانع وإن يكن مقترناً باستثمار زراعي، إلآ إذا كان تحويل المواد يتم
بعمل يدوي بسيط
زـ مشروع النقل براً أو جواً أو على سطح الماء
حمشروع الوكالة والسمسرة
طـمشروع التأمين بأنواعه
يمشروع المشاهد العامة",15,./crops\page_0005\page_0005_005_text.png
page_0005_006_number,page_0005,5,6,number,0.7656030058860779,820,1750,845,1780,25,30,True,,,0,ا,0.0,1,tesseract,0.0,ا,1,./crops\page_0005\page_0005_006_number.png
page_0006_001_text,page_0006,6,1,text,0.4000002145767212,338,232,1322,1047,984,815,False,"ك مشروع النشر
لمشروع المخازن العامة
ممشروع المناجم والبترول
نمشروع الاشغال العقارية
سمشروع شراء العقارات لبيعها بربح
عمشروع وكالة اشغال
فـكل مشروع لإنشاء وشراء بواخر مُعدّة للملاحة الداخلية أو الخارجية، بقصد
استثمارها تجارياً أو بيعها وكل بيع للبواخر المشتراة على هذا الوجه
ص جميع الإرساليات البحرية وكل عملية تتعلّق بها كالشراء أو بيع لوازمها من
حبال وأشرعة ومؤن
ث  إجارة السفن أو التزام النقل عليها والإقراض أو الاستقراض البحري
خوسائر العقود المختصة بالتجارة البحرية كالاتفاقات والمقاولات على أجور البحار
وبدل خدمتهم واستخدامهم للعمل على بواخر تجارية",0.9417,13,,,0,paddle,0.9417,"ك مشروع النشر
لمشروع المخازن العامة
ممشروع المناجم والبترول
نمشروع الاشغال العقارية
سمشروع شراء العقارات لبيعها بربح
عمشروع وكالة اشغال
فـكل مشروع لإنشاء وشراء بواخر مُعدّة للملاحة الداخلية أو الخارجية، بقصد
استثمارها تجارياً أو بيعها وكل بيع للبواخر المشتراة على هذا الوجه
ص جميع الإرساليات البحرية وكل عملية تتعلّق بها كالشراء أو بيع لوازمها من
حبال وأشرعة ومؤن
ث  إجارة السفن أو التزام النقل عليها والإقراض أو الاستقراض البحري
خوسائر العقود المختصة بالتجارة البحرية كالاتفاقات والمقاولات على أجور البحار
وبدل خدمتهم واستخدامهم للعمل على بواخر تجارية",13,./crops\page_0006\page_0006_001_text.png
page_0006_002_paragraph_title,page_0006,6,2,paragraph_title,0.6253847479820251,761,1063,889,1105,128,42,False,المادة,0.9511,1,,,0,paddle,0.9511,المادة,1,./crops\page_0006\page_0006_002_paragraph_title.png
page_0006_003_text,page_0006,6,3,text,0.7276723384857178,337,1123,1315,1240,978,117,False,"وثُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن
اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها",0.954,2,,,0,paddle,0.954,"وثُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن
اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها",2,./crops\page_0006\page_0006_003_text.png
page_0006_004_paragraph_title,page_0006,6,4,paragraph_title,0.5686819553375244,761,1264,888,1307,127,43,False,المادة,0.9439,1,,,0,paddle,0.9439,المادة,1,./crops\page_0006\page_0006_004_paragraph_title.png
page_0006_005_text,page_0006,6,5,text,0.2714522182941437,338,1320,1310,1564,972,244,False,"١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر
القانون
وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت
العكس",0.9752,4,,,0,paddle,0.9752,"١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر
القانون
وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت
العكس",4,./crops\page_0006\page_0006_005_text.png
page_0006_006_text,page_0006,6,6,text,0.8278083801269531,753,1595,893,1634,140,39,True,,,0,نا لا لا,0.91,1,tesseract,0.91,نا لا لا,1,./crops\page_0006\page_0006_006_text.png
page_0006_007_number,page_0006,6,7,number,0.7796631455421448,809,1743,835,1776,26,33,True,5,0.205,1,١,0.38,1,tesseract,0.38,١,1,./crops\page_0006\page_0006_007_number.png
page_0007_001_header,page_0007,7,1,header,0.5241960883140564,668,246,1001,326,333,80,True,"ارار
ايب",0.4727,2,الباب الثالثكف,0.485,1,tesseract,0.485,الباب الثالثكف,1,./crops\page_0007\page_0007_001_header.png
page_0007_002_text,page_0007,7,2,text,0.39594942331314087,776,355,901,413,125,58,True,ااتجار,0.8473,1,التجار,0.83,1,paddle,0.8473,ااتجار,1,./crops\page_0007\page_0007_002_text.png
page_0007_003_text,page_0007,7,3,text,0.5036161541938782,522,459,1150,654,628,195,False,"الفصل الأول
التجار على وجه عام والأهلية المطلوبة للاتجار
المادة ٩",0.9179,3,,,0,paddle,0.9179,"الفصل الأول
التجار على وجه عام والأهلية المطلوبة للاتجار
المادة ٩",3,./crops\page_0007\page_0007_003_text.png
page_0007_004_text,page_0007,7,4,text,0.6368142366409302,344,680,1316,1094,972,414,True,"٢ا-
ا ة   ي  يي  ة عمي   ييي
في يي  ة  ي   ي
الةي ص     ي  ي   ي ي لي و  وو لوة     ل اة
يي ي ل  ي ي لقلويي  ل وي لي و ل  ل لO ل   ع  ي ي
لييلل  ليل و يولهم لو  ل   إل٥ص لل ي ل  لح ي
المادة",0.5352,7,"١-التجار‏ هم:
أ- الأشخاص الذين تكون مهنتهم القيام بأعمال تجارية.
ب-الشركات التي يكون موضوعها تجارياً.
*- الشركات التي يكون موضوعها مدنياً ولكنها اتخذت صفة الشركات المساهمة أو
الشركات المحدودة المسؤولية؛ فتخضع لجميع التزامات التجار المعينة في الفصلين
الثاني والثالث الآتيين» ولأحكام الصلح الواقي والإفلاس المقرّرة في هذا القانون.
المادة ٠١‏",0.888,7,tesseract,0.888,"١-التجار‏ هم:
أ- الأشخاص الذين تكون مهنتهم القيام بأعمال تجارية.
ب-الشركات التي يكون موضوعها تجارياً.
*- الشركات التي يكون موضوعها مدنياً ولكنها اتخذت صفة الشركات المساهمة أو
الشركات المحدودة المسؤولية؛ فتخضع لجميع التزامات التجار المعينة في الفصلين
الثاني والثالث الآتيين» ولأحكام الصلح الواقي والإفلاس المقرّرة في هذا القانون.
المادة ٠١‏",7,./crops\page_0007\page_0007_004_text.png
page_0007_005_text,page_0007,7,5,text,0.9373977184295654,338,1110,1318,1480,980,370,False,"إن الأفراد الذين يتعاطون تجارة صغيرة أو حرفة بسيطة ذات نفقات عامة
زهيدة بحيث يعتمدون في الغالب على مساعيهم البدنية للحصول على أرباح قليلة
لتأمين معيشهم أكثر من استادهم إلى رأس ما لهم النقدي، كالبائع الطواف أو البائع
بالمياومة أو الذين يقومون بنقليات صغيرة على البر أو سطحالماء، لا يخضعون
للواجبات المختصة بالدفاتر التجارية ولا لقواعد الشهر ولا لأحكام الإفلاس والصلح
الواقي المنصوص عليها في هذا القانون",0.9509,6,,,0,paddle,0.9509,"إن الأفراد الذين يتعاطون تجارة صغيرة أو حرفة بسيطة ذات نفقات عامة
زهيدة بحيث يعتمدون في الغالب على مساعيهم البدنية للحصول على أرباح قليلة
لتأمين معيشهم أكثر من استادهم إلى رأس ما لهم النقدي، كالبائع الطواف أو البائع
بالمياومة أو الذين يقومون بنقليات صغيرة على البر أو سطحالماء، لا يخضعون
للواجبات المختصة بالدفاتر التجارية ولا لقواعد الشهر ولا لأحكام الإفلاس والصلح
الواقي المنصوص عليها في هذا القانون",6,./crops\page_0007\page_0007_005_text.png
page_0007_006_paragraph_title,page_0007,7,6,paragraph_title,0.5600416660308838,752,1496,900,1539,148,43,False,المادة,0.994,1,,,0,paddle,0.994,المادة,1,./crops\page_0007\page_0007_006_paragraph_title.png
page_0007_007_text,page_0007,7,7,text,0.9300873875617981,336,1555,1315,1741,979,186,False,"كل من أعلن فى الصحف أو النشرات أو أي واسطة أخرى عن نفسه كتاجر
أو عن المحل الذي أسسه أو يستثمره للاشتغال بالمعاملات التجارية يُعدّ تاجراً وإن
لم يتخذ التجارة مهنة مألوفة له",0.9399,3,,,0,paddle,0.9399,"كل من أعلن فى الصحف أو النشرات أو أي واسطة أخرى عن نفسه كتاجر
أو عن المحل الذي أسسه أو يستثمره للاشتغال بالمعاملات التجارية يُعدّ تاجراً وإن
لم يتخذ التجارة مهنة مألوفة له",3,./crops\page_0007\page_0007_007_text.png
page_0007_008_number,page_0007,7,8,number,0.7969633936882019,804,1755,835,1790,31,35,True,V,0.8067,1,7,0.74,1,paddle,0.8067,V,1,./crops\page_0007\page_0007_008_number.png
page_0008_001_paragraph_title,page_0008,8,1,paragraph_title,0.7263544797897339,743,243,889,286,146,43,False,المادة١,0.9253,1,,,0,paddle,0.9253,المادة١,1,./crops\page_0008\page_0008_001_paragraph_title.png
page_0008_002_text,page_0008,8,2,text,0.9272584915161133,326,302,1305,418,979,116,False,"لا يُعدّ تاجراً من قام بمعاملة تجارية عرضاً إلآ أن المعاملة تكون خاضعة
لأحكام قانون التجارة",0.9273,2,,,0,paddle,0.9273,"لا يُعدّ تاجراً من قام بمعاملة تجارية عرضاً إلآ أن المعاملة تكون خاضعة
لأحكام قانون التجارة",2,./crops\page_0008\page_0008_002_text.png
page_0008_003_paragraph_title,page_0008,8,3,paragraph_title,0.7683437466621399,744,444,891,489,147,45,False,المادة ٣,0.8863,1,,,0,paddle,0.8863,المادة ٣,1,./crops\page_0008\page_0008_003_paragraph_title.png
page_0008_004_text,page_0008,8,4,text,0.2633571922779083,329,501,1304,805,975,304,False,"لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات
الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها
المذكورة تكون خاضعة لأحكام قانون التجارة
تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها
تجارياً أو منحها القانون هذه الصفة",0.9522,5,,,0,paddle,0.9522,"لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات
الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها
المذكورة تكون خاضعة لأحكام قانون التجارة
تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها
تجارياً أو منحها القانون هذه الصفة",5,./crops\page_0008\page_0008_004_text.png
page_0008_005_paragraph_title,page_0008,8,5,paragraph_title,0.7641247510910034,749,828,895,871,146,43,False,المادة ٤,0.9401,1,,,0,paddle,0.9401,المادة ٤,1,./crops\page_0008\page_0008_005_paragraph_title.png
page_0008_006_text,page_0008,8,6,text,0.8924367427825928,335,890,1312,1005,977,115,False,"إذا اشتغل العاملون في الدولة الممنوعون من الاتجار قانوناً بالمعاملات
التجارية، فتشملهم الأحكام القانونية المتعلّقة بالصلح الواقي والإفلاس",0.9636,2,,,0,paddle,0.9636,"إذا اشتغل العاملون في الدولة الممنوعون من الاتجار قانوناً بالمعاملات
التجارية، فتشملهم الأحكام القانونية المتعلّقة بالصلح الواقي والإفلاس",2,./crops\page_0008\page_0008_006_text.png
page_0008_007_text,page_0008,8,7,text,0.30938446521759033,363,1025,1241,1147,878,122,False,"المادة ٥
تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار",0.9215,2,,,0,paddle,0.9215,"المادة ٥
تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار",2,./crops\page_0008\page_0008_007_text.png
page_0008_008_paragraph_title,page_0008,8,8,paragraph_title,0.49097755551338196,717,1190,933,1254,216,64,False,"الثاني
الفصل",0.9683,2,,,0,paddle,0.9683,"الثاني
الفصل",2,./crops\page_0008\page_0008_008_paragraph_title.png
page_0008_009_paragraph_title,page_0008,8,9,paragraph_title,0.5657481551170349,730,1271,923,1327,193,56,False,"التجارة
دفاتر",0.9622,2,,,0,paddle,0.9622,"التجارة
دفاتر",2,./crops\page_0008\page_0008_009_paragraph_title.png
page_0008_010_paragraph_title,page_0008,8,10,paragraph_title,0.5558823943138123,756,1350,903,1395,147,45,False,المادة٦,0.8772,1,,,0,paddle,0.8772,المادة٦,1,./crops\page_0008\page_0008_010_paragraph_title.png
page_0008_011_text,page_0008,8,11,text,0.5998273491859436,533,1409,1312,1469,779,60,False,"التاليين
الإجباريين
ـ على التاجر أن ينظم على الأقل الدفترين",0.924,3,,,0,paddle,0.924,"التاليين
الإجباريين
ـ على التاجر أن ينظم على الأقل الدفترين",3,./crops\page_0008\page_0008_011_text.png
page_0008_012_text,page_0008,8,12,text,0.7070149183273315,341,1468,1277,1718,936,250,False,"أـ دفتر اليومية يقيد فيه يوماً فيوماً جميع الأعمال التي تعود بوجه من الوجوه
إلى مؤسسته التجارية وأن يقيد بالجملة شهراً فشهراً النفقات التي أنفقها على
نفسه وأسرته وإذا كان التاجر يتبع الأسلوب الآلي في محاسبته أو مسك
الدفاتر يومية مساعدة منظمة وفقأحكامالمادتين١و٨منها",0.9377,4,,,0,paddle,0.9377,"أـ دفتر اليومية يقيد فيه يوماً فيوماً جميع الأعمال التي تعود بوجه من الوجوه
إلى مؤسسته التجارية وأن يقيد بالجملة شهراً فشهراً النفقات التي أنفقها على
نفسه وأسرته وإذا كان التاجر يتبع الأسلوب الآلي في محاسبته أو مسك
الدفاتر يومية مساعدة منظمة وفقأحكامالمادتين١و٨منها",4,./crops\page_0008\page_0008_012_text.png
page_0008_013_number,page_0008,8,13,number,0.7560209631919861,816,1753,846,1790,30,37,False,7,0.9147,1,,,0,paddle,0.9147,7,1,./crops\page_0008\page_0008_013_number.png
page_0009_001_text,page_0009,9,1,text,0.3235388994216919,346,234,1323,813,977,579,False,"القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ
بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة
بـدفتر جرد يتضمن جرداً سنوياًللموجودات والمطاليب العائدة لمؤسسته وأن
يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر
وينسخها في دفتر الجرد
وعليه أن يحفظ ويرتب المراسلات التي يتلقاها وصور المراسلات التي
يرسلها
٣يجب تنظيم دفتري اليومية والجرد باللغة العربية ولوزير الإقتصاد والتجارة أن
يعفي من هذا الشرط المؤسسات الأجنبية التي يحددها بقرار منه",0.9584,9,,,0,paddle,0.9584,"القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ
بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة
بـدفتر جرد يتضمن جرداً سنوياًللموجودات والمطاليب العائدة لمؤسسته وأن
يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر
وينسخها في دفتر الجرد
وعليه أن يحفظ ويرتب المراسلات التي يتلقاها وصور المراسلات التي
يرسلها
٣يجب تنظيم دفتري اليومية والجرد باللغة العربية ولوزير الإقتصاد والتجارة أن
يعفي من هذا الشرط المؤسسات الأجنبية التي يحددها بقرار منه",9,./crops\page_0009\page_0009_001_text.png
page_0009_002_paragraph_title,page_0009,9,2,paragraph_title,0.6964437365531921,760,826,909,868,149,42,False,المادة,0.9532,1,,,0,paddle,0.9532,المادة,1,./crops\page_0009\page_0009_002_paragraph_title.png
page_0009_003_text,page_0009,9,3,text,0.6734103560447693,341,886,1325,1004,984,118,False,"يجب أن تتظم الدفاتر التجارية الإجبارية بحسب التاريخوبلا بياض ولا فراغ
ولا نقل إلى الهامش ولا محو ولا تحشية بين السطور",0.9477,2,,,0,paddle,0.9477,"يجب أن تتظم الدفاتر التجارية الإجبارية بحسب التاريخوبلا بياض ولا فراغ
ولا نقل إلى الهامش ولا محو ولا تحشية بين السطور",2,./crops\page_0009\page_0009_003_text.png
page_0009_004_paragraph_title,page_0009,9,4,paragraph_title,0.6417863368988037,759,1025,907,1069,148,44,False,المادة,0.9474,1,,,0,paddle,0.9474,المادة,1,./crops\page_0009\page_0009_004_paragraph_title.png
page_0009_005_text,page_0009,9,5,text,0.5950726866722107,342,1086,1321,1205,979,119,False,"يجب ترقيم الدفاتر المذكورة والتأشير عليها وتوقيعها من رئيس محكمة البداية
المدنية أو من قاضي الصلح في المدن التي لا توجد فيها محكمة بداية",0.9588,2,,,0,paddle,0.9588,"يجب ترقيم الدفاتر المذكورة والتأشير عليها وتوقيعها من رئيس محكمة البداية
المدنية أو من قاضي الصلح في المدن التي لا توجد فيها محكمة بداية",2,./crops\page_0009\page_0009_005_text.png
page_0009_006_paragraph_title,page_0009,9,6,paragraph_title,0.6606019735336304,757,1221,906,1265,149,44,False,المادة٩,0.8674,1,,,0,paddle,0.8674,المادة٩,1,./crops\page_0009\page_0009_006_paragraph_title.png
page_0009_007_text,page_0009,9,7,text,0.3058672845363617,472,1285,1313,1340,841,55,False,يجب على التاجر أن يحفظ الدفاتر بعد اختتامها مدّة عشر سنوات,0.9399,1,,,0,paddle,0.9399,يجب على التاجر أن يحفظ الدفاتر بعد اختتامها مدّة عشر سنوات,1,./crops\page_0009\page_0009_007_text.png
page_0009_008_paragraph_title,page_0009,9,8,paragraph_title,0.45674827694892883,752,1551,902,1595,150,44,True,"٢
المادة",0.6692,2,١0 المادة‎,0.73,1,tesseract,0.73,١0 المادة‎,1,./crops\page_0009\page_0009_008_paragraph_title.png
