chunk_id,chunk_type,article_number,article_number_raw,article_number_resolution,page_start,page_end,heading_box_id,box_count,body_box_count,metadata_box_count,skipped_duplicate_box_count,context_blocks,references,needs_review,review_reasons,text_preview
article_unknown_10,article,,,missing_first_article_number,6,6,page_0006_raw_0049,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية",,True,missing_first_article_number,المادة / وتُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن / اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها
article_unknown_11,article,,,missing_first_article_number,6,7,page_0006_raw_0050,5,4,0,2,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية",,True,missing_first_article_number,المادة / ١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر / القانون / ٢وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس / جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعّ تجارية أيضاً في نظر / القانون / التجحار / الفصل الأول
article_unknown_12,article,,,missing_first_article_number,7,7,page_0007_raw_0074,1,0,1,1,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث",,True,missing_first_article_number,المادة
article_unknown_13,article,,,missing_first_article_number,7,7,page_0007_raw_0075,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث",,True,missing_first_article_number,المادة / إن الأفراد الذين يتعاطون تجارة صغيرة أو حرفة بسيطة ذات نفقات عامة / زهيدة بحيث يعتمدون في الغالب على مساعيهم البدنية للحصول على أرباح قليلة / لتأمين معيشهم أكثر من استادهم إلى رأس ما لهم النقدي، كالبائع الطواف أو البائع / بالمياومة أو الذين يقومون بنقليات صغيرة على البر أو سطح الماء، لا يخضعون / للواجبات المختصة بالدفاتر التجارية ولا لقواعد الشهر ولا لأحكام الإفلاس والصلح / الواقي المنصوص عليها في هذا القانون
article_unknown_14,article,,,missing_first_article_number,7,7,page_0007_raw_0070,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث",,True,missing_first_article_number,المادة / كل من أعلن في الصحف أو النشرات أو أي واسطة أخرى عن نفسه كتاجر / أو عن المحل الذي أسسه أو يستثمره للاشتغال بالمعاملات التجارية يُعدّ تاجراً وإن / لم يتخذ التجارة مهنة مألوفة له
article_unknown_15,article,,,missing_first_article_number,8,8,page_0008_raw_0084,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث",,True,missing_first_article_number,المادة / لا يُعدّ تاجراً من قام بمعاملة تجارية عرضاً إلآأن المعاملة تكون خاضعة / لأحكام قانون التجارة
article_2,article,2,2,raw_number_used,8,8,page_0008_raw_0080,3,2,0,2,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث",,False,,المادة ٢ / ١لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات / الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها / المذكورة تكون خاضعة لأحكام قانون التجارة / تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها / تجارياً أو منحها القانون هذه الصفة / ٢ـ تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها / تجارياً أو منحها القانون هذه الصفة
article_4,article,4,4,accepted_small_sequence_gap_raw_4_expected_3,8,8,page_0008_raw_0082,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث",,True,accepted_small_sequence_gap_raw_4_expected_3,المادة ٤ / إذا اشتغل العاملون في الدولة الممنوعون من الاتجار قانوناً بالمعاملات / التجارية، فتشملهم الأحكام القانونية المتعلقة بالصلح الواقى والإفلاس
article_5,article,5,5,raw_number_matches_sequence,8,8,page_0008_raw_0092,1,0,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث",,False,,المادة ٥ / تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار
article_6,article,6,,inferred_missing_number_from_sequence,8,8,page_0008_raw_0087,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث",,True,inferred_missing_number_from_sequence,المادة / تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار
article_7,article,7,,inferred_missing_number_from_sequence,8,9,page_0008_raw_0090,8,7,2,5,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة",,True,inferred_missing_number_from_sequence,المادة / التاجر / ا - على / أن ينظم على الأقلآ الدفترين الإجباريين التاليين : / أ دفتر اليومية يقيد فيه يوماً فيوماً جميع الأعمال التي تعود بوجه من الوجوه / إلى مؤسسته التجارية وأن يقيد بالجملة شهراً فشهراً النفقات التي أنفقها على / نفسه وأسرته وإذا كان التاجر يتبع الأسلوب الآلى فى محاسبته أو مسك / الدفاتر يومية مساعدة منظمة وفق أحكام المادتين ١٧و١٨ من هذا / القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً على أن يحتفظ / بدفتر جرد يتضمن جرداً سنوياً للموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر 
article_8,article,8,,inferred_missing_number_from_sequence,9,9,page_0009_raw_0097,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة",,True,inferred_missing_number_from_sequence,المادة / يجب أن تنظم الدفاتر التجارية الإجبارية بحسب التاريخ وبلا بياض ولا فراغ / ولا نقل إلى الهامش ولا محو ولا تحشية بين السطور
article_9,article,9,8,corrected_non_monotonic_raw_8_expected_9,9,9,page_0009_raw_0100,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة",,True,corrected_non_monotonic_raw_8_expected_9,المادة ٨ / يجب ترقيم الدفاتر المذكورة والتأشير عليها وتوقيعها من رئيس محكمة البداية / المدنية أو من قاضي الصلح في المدن التي لا توجد فيها محكمة بداية
article_10,article,10,9,corrected_non_monotonic_raw_9_expected_10,9,9,page_0009_raw_0099,2,1,0,1,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة",,True,corrected_non_monotonic_raw_9_expected_10,المادة ٩ / ١يجب على التاجر أن يحفظ الدفاتر بعد اختتامها مدّة عشر سنوات / ٢للمؤسسات التجارية التى يعينها وزير الاقتصاد والتجارة أن تحتفظ للمدّة المذكورة / في الفقرة السابقة بالصورة بأية وسيلة إلكترونية تعتمدها وزارة الاقتصاد والتجارة / بدلاأ من الأصل وتكون للصورة حجية الأصل فى الإثبات
article_11,article,11,,inferred_missing_number_from_sequence,9,9,page_0009_raw_0108,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة",,True,inferred_missing_number_from_sequence,المادة / لا ثسلّم الدفاتر بكاملها إلى القضاء إلآ في أحوال الإرث وقسمة الأموال / المشتركة والشركة والصلح الواقي والإفلاس
article_12,article,12,,inferred_missing_number_from_sequence,10,10,page_0010_raw_0124,2,1,0,1,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة",,True,inferred_missing_number_from_sequence,المادة / ٢- وللقاضي أن يأمر من تلقاء نفسه الدفاتر المذكورة للغاية ذاتها
article_13,article,13,,inferred_missing_number_from_sequence,10,10,page_0010_raw_0118,3,2,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة",,True,inferred_missing_number_from_sequence,المادة / يمكن للتجار مسك حساباتهم إلكترونياً وفقا للتعليمات التنفيذية التي تصدر / عن وزارة الاقتصاد والتجارة / الفصل الثالث
article_14,article,14,3,corrected_non_monotonic_raw_3_expected_14,10,10,page_0010_raw_0125,3,2,1,1,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة || سجل التجارة",,True,corrected_non_monotonic_raw_3_expected_14,المادة ٣ / سجل التجارة يمكن الجمهور من الحصول على المعلومات الوافية عن كل / المؤسسات التجارية التي تعمل في سورية / ٢وهو أيضاً أداة للشهر يقصد بها جعل من درجاته نافذة في حق الغير عند وجود / نص قانوني صريح بهذا المعنى / ٢ـوهو أيضاً أداة للشهر يقصد بها جعل من درجاته نافذة في حق الغير عند وجود / نص قانوني صريح بهذا المعنى
article_15,article,15,4,corrected_non_monotonic_raw_4_expected_15,10,11,page_0010_raw_0121,5,4,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة || سجل التجارة",,True,corrected_non_monotonic_raw_4_expected_15,المادة ٤ / ١ينظم لدى وزارة الاقتصاد والتجارة سجل خاص بفروع المؤسسات التجارية / والشركات التي يوجد مركزها خارج سورية / ٢ينظم لدى وزارة الاقتصاد والتجارة فى كل محافظة سجل لتسجيل أسماء التجار / والشركات التجارية والشركات المدنية وباقي المؤسسات التجارية يُطّلق عليها / سجل التجارة / يتولى مسك السجل موظف يُطلق عليه أمين سجل التجارة وعليه أن يباشر / وظيفته أن يحلف اليمين أمام محكمة البداية المدنية، على أن يقوم بوظيفته / بشرف وأمانة / تسجل أسماء التجار الذي تكون متاجرهم الرئيسية في سورية، مهما كانت / جنسيتهم
article_16,article,16,25,corrected_large_jump_raw_25_expected_16,11,11,page_0011_raw_0134,1,0,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة || سجل التجارة",,True,corrected_large_jump_raw_25_expected_16,المادة ٢٥ / ١يجب على كل تاجر أن يطلب من أمين سجل التجارة في المحافظة التي يوجد / فيها مركزه الرئيسي أن يسجل اسمه في سجل التجارة في خلال شهر واحد من / تاريخ فتح المحل أو شرائه / على التاجر أن يقدم تصريحاً في نسختين موقعتين منه يذكر فيه ما يلي / أ-اسمه ونسبته / باسمه التجاري إذا اختلف عن اسمه وعنوانه التجاري / جتاريخ ولادته ومحلها وموطنه / د جنسيته الأصلية، وإذا كان قد حصل على جنسية أخرى، فيبين طريقة / حصوله عليها مع ذكر التاريخ / هوإذا كان الأمر يختص بامرأة متزوجة تابعة لجنسية أجنبية يقضي قانون / الأحوال الشخصية الذي تخضع له بألا تتعاطى التجارة إلأ بترخيص صريح / من زوجها، فيذكر الترخيص المعطى لها وفاقاً قانون المشار إليه / والنظام المالي للزوجين إذا اختلف عن أحكام القانون السوري والاتفاقية / 
article_17,article,17,,inferred_missing_number_from_sequence,11,11,page_0011_raw_0135,1,0,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة || سجل التجارة",,True,inferred_missing_number_from_sequence,المادة
article_18,article,18,,inferred_missing_number_from_sequence,12,12,page_0012_raw_0140,1,0,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة || سجل التجارة",,True,inferred_missing_number_from_sequence,المادة
article_19,article,19,6,corrected_non_monotonic_raw_6_expected_19,12,12,page_0012_raw_0142,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة || سجل التجارة",7,True,corrected_non_monotonic_raw_6_expected_19,المادة٦ / ١يجب أن يذكر في سجل التجارة / أـ كل تعديل يتعلّق بالأمور التي تقضي المادة السابقة بقيدها في السجل / بشهادات الاختراع التي يستثمرها التاجر والعلامات التي يستعملها للمصنع / أو التجارة / جالأحكام والقرارات القاضية بتعيين وصيّ عليه أو قيّم أو مساعد قضائي / للتاجر المسجل أو بالحجر عليه أو برفع هذه التدابير عنه / دالأحكام والقرارات المعلنة للإفلاس أو المتضمنة تصديق الصلح أو فسخه / أو إبطاله أو المعلنة لمعذرة المفلس أو القاضية بإغلاق التفليسة لعدم كفاية / الموجودات أو بالعدول عن إغلاقها أو بإعادة الإعتبار / هالتفرغ عن المحل التجاري / ويجري القيد بناءَ على طلب التاجر في الأحوال المشار إليها في الفقراتأ، / ب، هويجري في الأحوال المشار إليها في الفقرتين ج، د بناء على طلب / كاتب المحكمة التى أ
article_20,article,20,,inferred_missing_number_from_sequence,12,12,page_0012_raw_0139,3,2,0,2,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة || سجل التجارة",,True,inferred_missing_number_from_sequence,المادة / إن الشركات التي يكون مركزها الرئيسي في سورية مهما كانت جنسيتها، يجب / تسجيلها في سجل التجارة المختص بمنطقة مركزها الرئيسي، ويجب على / مديريها وأعضاء مجلس إدارتها أن يطلبوا التسجيل في خلال الشهر الذي يلي / تأسيسها / ٢حويقدم طالبو التسجيل إلى أمين سجل التجارة صورة مصدقة عن صك تأسيس / الشركة أو نظامها الأساسي وخلاصة لهذا الصك أو النظام مُعدّة للشهر ومنظمة / على نسختين ومشتملة على الطوابع وعلى تواقيع طالبي التسجيل ومتضمنه / بوجه خاص البيانات الآتية
article_21,article,21,,inferred_missing_number_from_sequence,13,13,page_0013_raw_0145,3,2,0,1,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة || سجل التجارة",,True,inferred_missing_number_from_sequence,المادة / الاسم والنسبة وتاريخ الولادة ومحلها والجنسية لكل من مديري الشركة وأعضاء / مجلس إدارتها ومديريها المعينين لمدّة وجودها أما طلب التسجيل فيقدمه المديرون / وأعضاء مجلس الإدارة القائمون بوظائفهم في وقت وجوب التسجيل / الشركات التجارية المؤسسة خارج الأراضي السورية ولها فروع أو وكالات في / سورية وكذلك التجار الذين لهم مركز رئيسي في الخارج وفروع أو وكالات في سورية / مهما كانت جنسيتهم
article_22,article,22,29,corrected_large_jump_raw_29_expected_22,14,14,page_0014_raw_0161,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة || سجل التجارة",,True,corrected_large_jump_raw_29_expected_22,المادة ٢٩ / يخضع تسجيل مثل تلك الفروع أو الوكالات لأحكام القانون الخاص بتسجيلها / في سورية
article_23,article,23,3,corrected_non_monotonic_raw_3_expected_23,14,14,page_0014_raw_0162,4,3,1,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية || الباب الثالث || الفصل الثاني || دفاتر التجارة || سجل التجارة || الشركات المدنية",,True,corrected_non_monotonic_raw_3_expected_23,المادة ٣ / ١يحدث فى أمانة سجل التجارة سجل خاص بالشركات المدنية التي يقع / مركزها الرئيسي في المحافظة تسجل فيه الشركات وفق أحكام المادتين ٢٧ / و٢٨من هذا القانون باستثناء ما يتوقف العمل به على الصفة التجارية / للشركة / ٢ تسجل الشركات المدنية التي يقع مركزها خارج سورية أو لها فرع أو وكالة في / سجل خاص تابع لسجل الفروع والوكالات العائدة للمؤسسات أو الشركات القائمة / خارج سورية وذلك وفق القانون الخاص بها / ٣ـ على الشركات المذكورة في الفقرتين السابقتين تسجيل نفسها في السجل المذكور / وإيداع صك تأسيسها ونظامها الأساسي ديوان محكمة البداية في مركزها إذا / أرادت الاحتجاج بشخصيتها الإعتبارية حيال الغير
