page,region_id,label,paddle_confidence,easyocr_confidence,reasons,paddle_text,easyocr_text,crop_path
page_0003,page_0003_raw_0011,text,0.9279,0.8126,has_easyocr_candidate_output|very_small_layout_box,المادة,المادة,layout_output\raw_box_crops\page_0003\page_0003_raw_0011.png
page_0003,page_0003_raw_0012,text,0.9069,0.9967,has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة٢,المادة,layout_output\raw_box_crops\page_0003\page_0003_raw_0012.png
page_0003,page_0003_raw_0008,text,0.9397,,very_large_layout_box,يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق,,layout_output\raw_box_crops\page_0003\page_0003_raw_0008.png
page_0003,page_0003_raw_0009,paragraph_title,0.9765,0.9981,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة٣,المادة,layout_output\raw_box_crops\page_0003\page_0003_raw_0009.png
page_0003,page_0003_raw_0002,text,0.8991,,very_large_layout_box,ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٢٠٨٤١,,layout_output\raw_box_crops\page_0003\page_0003_raw_0002.png
page_0003,page_0003_raw_0022,text,,0.8559,has_easyocr_candidate_output|empty_paddle_text|paddle_easyocr_disagree|very_small_layout_box,,١ ٤ ٢٠٠٨,layout_output\raw_box_crops\page_0003\page_0003_raw_0022.png
page_0003,page_0003_raw_0004,text,0.6468,0.7571,has_easyocr_candidate_output|low_paddle_confidence|paddle_easyocr_disagree,مشق فيهلموافق,الموافق / _ / دمشق / ٢٩ ١ ٤٢٨ / اهر / ٩ ١٢ ٢٠٠٧م,layout_output\raw_box_crops\page_0003\page_0003_raw_0004.png
page_0003,page_0003_raw_0003,text,0.9728,0.6501,has_easyocr_candidate_output|paddle_easyocr_disagree,الجمهورية / رئيس / بشار الأسد,رئيس الجمهورية / بشار الأسد,layout_output\raw_box_crops\page_0003\page_0003_raw_0003.png
page_0003,page_0003_raw_0016,text,0.9703,0.7599,has_easyocr_candidate_output|paddle_easyocr_disagree,الجمهورية / رئيس,رئيس الجمهورية,layout_output\raw_box_crops\page_0003\page_0003_raw_0016.png
page_0003,page_0003_raw_0014,text,0.9538,0.6937,has_easyocr_candidate_output|very_small_layout_box,بشار الأسد,بشار الأسد,layout_output\raw_box_crops\page_0003\page_0003_raw_0014.png
page_0003,page_0003_raw_0001,number,0.987,,layout_label_needs_semantic_role|very_small_layout_box,٣,,layout_output\raw_box_crops\page_0003\page_0003_raw_0001.png
page_0004,page_0004_raw_0032,image,0.9485,,layout_label_needs_semantic_role|image_label_but_document_has_no_real_images|very_large_layout_box,التجارة / قانون / الكتاب الأول / التجارة على وم والجار والموات التجاالمتجر / الباب الأول / أحكام عامة / المادة,,layout_output\raw_box_crops\page_0004\page_0004_raw_0032.png
page_0004,page_0004_raw_0034,text,0.8931,0.9965,has_easyocr_candidate_output|paddle_easyocr_disagree,أحكام عامة,عامة / أحكام,layout_output\raw_box_crops\page_0004\page_0004_raw_0034.png
page_0004,page_0004_raw_0033,figure_title,0.9598,0.7068,layout_label_needs_semantic_role|has_easyocr_candidate_output,المادة,المادة,layout_output\raw_box_crops\page_0004\page_0004_raw_0033.png
page_0004,page_0004_raw_0024,text,0.9593,,very_large_layout_box,يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي / شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق / على الأشخاص الذين اتخذوا التجارة مهنة,,layout_output\raw_box_crops\page_0004\page_0004_raw_0024.png
page_0004,page_0004_raw_0028,paragraph_title,0.9832,0.4901,layout_label_needs_semantic_role|has_easyocr_candidate_output,المادة,المادة,layout_output\raw_box_crops\page_0004\page_0004_raw_0028.png
page_0004,page_0004_raw_0027,text,0.9464,,very_large_layout_box,إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني / ـ على أن تطبق هذه الأحكام لا يكون إلأ على نسبة اتفاقها مع المبادئ المختصة / بالقانون التجاري والعرف التجاري,,layout_output\raw_box_crops\page_0004\page_0004_raw_0027.png
page_0004,page_0004_raw_0031,paragraph_title,0.8875,0.6577,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree,المادة ٣,المادة,layout_output\raw_box_crops\page_0004\page_0004_raw_0031.png
page_0004,page_0004_raw_0025,text,0.9393,,very_large_layout_box,إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه / الاجتهاد القضائى وبمباديئ العدالة والإنصاف والاستقامة التجارية,,layout_output\raw_box_crops\page_0004\page_0004_raw_0025.png
page_0004,page_0004_raw_0030,paragraph_title,0.9309,0.9822,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة٤,المادة,layout_output\raw_box_crops\page_0004\page_0004_raw_0030.png
page_0004,page_0004_raw_0026,text,0.9451,,very_large_layout_box,١ على القاضي عند تحديد أثار العمل التجاري أن يطبق العرف المتوطد إلآإذا / ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضأً مع النصوص / التشريعية الإلزامية,,layout_output\raw_box_crops\page_0004\page_0004_raw_0026.png
page_0004,page_0004_raw_0029,number,0.7917,,layout_label_needs_semantic_role|very_small_layout_box,3,,layout_output\raw_box_crops\page_0004\page_0004_raw_0029.png
page_0005,page_0005_raw_0040,text,0.9173,0.6083,has_easyocr_candidate_output|paddle_easyocr_disagree,٢ويعدّ العرف الخأص والعرف المحلي مرجحين على العرف العام,الخاص / ٢ - ويعد العرف / والعرف المحلي مرجحين على العرف العام,layout_output\raw_box_crops\page_0005\page_0005_raw_0040.png
page_0005,page_0005_raw_0041,paragraph_title,0.9415,0.9719,layout_label_needs_semantic_role|has_easyocr_candidate_output|very_small_layout_box,المادة,المادة,layout_output\raw_box_crops\page_0005\page_0005_raw_0041.png
page_0005,page_0005_raw_0036,image,0.94,0.7503,layout_label_needs_semantic_role|image_label_but_document_has_no_real_images|has_easyocr_candidate_output|paddle_easyocr_disagree,الثاز / الباب / الأعمال التجارية,الباب / الثاني / الأعمال التجارية,layout_output\raw_box_crops\page_0005\page_0005_raw_0036.png
page_0005,page_0005_raw_0039,figure_title,0.8713,0.6849,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة٦,المادة,layout_output\raw_box_crops\page_0005\page_0005_raw_0039.png
page_0005,page_0005_raw_0038,text,0.9512,,very_large_layout_box,ثُعدّ بحكم ماهيتها الذاتية أعمالاً تجارية / أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها / أم بعد شغلها أو تحويلها / ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استثجارها لأجل تأجيرها / ثانية / جالبيع أو الاستئج,,layout_output\raw_box_crops\page_0005\page_0005_raw_0038.png
page_0005,page_0005_raw_0037,number,0.2692,,layout_label_needs_semantic_role|low_paddle_confidence|very_small_layout_box,.,,layout_output\raw_box_crops\page_0005\page_0005_raw_0037.png
page_0006,page_0006_raw_0055,text,0.9329,,very_large_layout_box,ك مشروع النشر / ل مشروع المخازن العامة / ممشروع المناجم والبترول / نمشروع الاشغال العقارية / سمشروع شراء العقارات لبيعها بربح / عمشروع وكالة اشغال / فـكل مشروع لإنشاء وشراء بواخر معدّة للملاحة الداخلية أو الخارجية، بقصد / استثمارها تجارياً أو بيعها و,,layout_output\raw_box_crops\page_0006\page_0006_raw_0055.png
page_0006,page_0006_raw_0062,text,0.5468,0.6859,has_easyocr_candidate_output|low_paddle_confidence|paddle_easyocr_disagree,يو يإ Oو يي,ك - مشروع النشر,layout_output\raw_box_crops\page_0006\page_0006_raw_0062.png
page_0006,page_0006_raw_0060,text,0.9628,0.5545,has_easyocr_candidate_output|paddle_easyocr_disagree,لـمشروع المخازن العامة,ل- مشروع المخازن العامة,layout_output\raw_box_crops\page_0006\page_0006_raw_0060.png
page_0006,page_0006_raw_0065,text,0.931,0.8103,has_easyocr_candidate_output|paddle_easyocr_disagree,ممشروع المناجم والبترول,المناجم / والبترول / مشروع,layout_output\raw_box_crops\page_0006\page_0006_raw_0065.png
page_0006,page_0006_raw_0059,text,0.9589,0.8099,has_easyocr_candidate_output|paddle_easyocr_disagree,نمشروع الاشغال العقارية,ن- مشروع الاشغال العقارية .,layout_output\raw_box_crops\page_0006\page_0006_raw_0059.png
page_0006,page_0006_raw_0061,text,0.9105,0.5329,has_easyocr_candidate_output|paddle_easyocr_disagree,عمشروع وكالة اشغال,٤- مشروع وكالة اشغال,layout_output\raw_box_crops\page_0006\page_0006_raw_0061.png
page_0006,page_0006_raw_0056,text,0.9529,,very_large_layout_box,فـكل مشروع لإنشاء وشراء بواخر مُعدّة للملاحة الداخلية أو الخارجية، بقصد / استثمارها تجارياً أو بيعها وكل بيع للبواخر المشتراة على هذا الوجه,,layout_output\raw_box_crops\page_0006\page_0006_raw_0056.png
page_0006,page_0006_raw_0053,text,0.9332,,very_large_layout_box,صـ جميع الإرساليات البحرية وكل عملية تتعلّق بها كالشراء أو بيع لوازمها من / حبال وأشرعة ومؤن,,layout_output\raw_box_crops\page_0006\page_0006_raw_0053.png
page_0006,page_0006_raw_0054,text,0.4992,0.8003,has_easyocr_candidate_output|low_paddle_confidence|paddle_easyocr_disagree,للل يي ي لوو يل ل ل لي ي لوي ي,ث - إجارة / السفن / أو التزام النقل عليها والإقراض أو الاستقراض البحريء,layout_output\raw_box_crops\page_0006\page_0006_raw_0054.png
page_0006,page_0006_raw_0057,text,0.9587,,very_large_layout_box,خوسائر العقود المختصة بالتجارة البحرية كالاتفاقات والمقاولات على أجور البحار / وبدل خدمتهم واستخدامهم للعمل على بواخر تجارية,,layout_output\raw_box_crops\page_0006\page_0006_raw_0057.png
page_0006,page_0006_raw_0049,paragraph_title,0.9493,0.9864,layout_label_needs_semantic_role|has_easyocr_candidate_output|very_small_layout_box,المادة,المادة,layout_output\raw_box_crops\page_0006\page_0006_raw_0049.png
page_0006,page_0006_raw_0048,text,0.9517,,very_large_layout_box,وتُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن / اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها,,layout_output\raw_box_crops\page_0006\page_0006_raw_0048.png
page_0006,page_0006_raw_0050,paragraph_title,0.9387,0.9977,layout_label_needs_semantic_role|has_easyocr_candidate_output|very_small_layout_box,المادة,المادة,layout_output\raw_box_crops\page_0006\page_0006_raw_0050.png
page_0006,page_0006_raw_0064,text,0.9628,,very_large_layout_box,١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر / القانون / ٢وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس,,layout_output\raw_box_crops\page_0006\page_0006_raw_0064.png
page_0006,page_0006_raw_0052,text,0.9724,,very_large_layout_box,جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعّ تجارية أيضاً في نظر / القانون,,layout_output\raw_box_crops\page_0006\page_0006_raw_0052.png
page_0006,page_0006_raw_0051,text,0.974,,very_large_layout_box,٢وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس,,layout_output\raw_box_crops\page_0006\page_0006_raw_0051.png
page_0006,page_0006_raw_0046,text,0.533,,low_paddle_confidence|very_small_layout_box,L,,layout_output\raw_box_crops\page_0006\page_0006_raw_0046.png
page_0006,page_0006_raw_0047,number,0.8425,,layout_label_needs_semantic_role|very_small_layout_box,7,,layout_output\raw_box_crops\page_0006\page_0006_raw_0047.png
page_0007,page_0007_raw_0071,header,0.7299,0.5836,layout_label_needs_semantic_role|has_easyocr_candidate_output|low_paddle_confidence|paddle_easyocr_disagree,ا / اي,الباب الثالث,layout_output\raw_box_crops\page_0007\page_0007_raw_0071.png
page_0007,page_0007_raw_0073,text,0.9515,0.3344,has_easyocr_candidate_output|paddle_easyocr_disagree,التجار,التجحار,layout_output\raw_box_crops\page_0007\page_0007_raw_0073.png
page_0007,page_0007_raw_0076,text,0.8848,0.9013,has_easyocr_candidate_output,الفصل الأول,الفصل الأول,layout_output\raw_box_crops\page_0007\page_0007_raw_0076.png
page_0007,page_0007_raw_0072,text,0.9214,,very_large_layout_box,الفصل الأول / التجار على وجه عام والأهلية المطلوبة للاتجار / المادة ٩,,layout_output\raw_box_crops\page_0007\page_0007_raw_0072.png
page_0007,page_0007_raw_0074,text,0.9551,0.9929,has_easyocr_candidate_output,المادة,المادة,layout_output\raw_box_crops\page_0007\page_0007_raw_0074.png
page_0007,page_0007_raw_0069,text,0.5837,0.6784,has_easyocr_candidate_output|low_paddle_confidence|paddle_easyocr_disagree|very_large_layout_box,ي لي ي ي و مل ي يي / ي ي ي ف / لةي و ي ي ي ي ل ي ييي و يو ل و ة / لي يق ي ي يي ي قووي يلع وي ي لي ل ل مّي ل ل ي ي ي / الع يل ي ل ي ولوم ل ل٥ ول ي ل٥ ي / المادة,ا - التجار هم / أ- الأشخاص الذين تكون مهنتهم القيام بأعمال تجارية. / ب- الشركات التي يكون موضوعها تجارياً. / ٢- الشركات التي يكون موضوعها مدنيا ولكنها اتخذت صفة الشركات المساهمة أو / الشركات المحدودة المسؤولية فتخضع لجميع التزامات التجارالمعينة في ال,layout_output\raw_box_crops\page_0007\page_0007_raw_0069.png
page_0007,page_0007_raw_0075,figure_title,0.8658,0.9953,layout_label_needs_semantic_role|has_easyocr_candidate_output,المادة,المادة,layout_output\raw_box_crops\page_0007\page_0007_raw_0075.png
page_0007,page_0007_raw_0066,text,0.9544,,very_large_layout_box,إن الأفراد الذين يتعاطون تجارة صغيرة أو حرفة بسيطة ذات نفقات عامة / زهيدة بحيث يعتمدون في الغالب على مساعيهم البدنية للحصول على أرباح قليلة / لتأمين معيشهم أكثر من استادهم إلى رأس ما لهم النقدي، كالبائع الطواف أو البائع / بالمياومة أو الذين يقومون بن,,layout_output\raw_box_crops\page_0007\page_0007_raw_0066.png
page_0007,page_0007_raw_0070,paragraph_title,0.9955,0.9981,layout_label_needs_semantic_role|has_easyocr_candidate_output,المادة,المادة,layout_output\raw_box_crops\page_0007\page_0007_raw_0070.png
page_0007,page_0007_raw_0067,text,0.9391,,very_large_layout_box,كل من أعلن في الصحف أو النشرات أو أي واسطة أخرى عن نفسه كتاجر / أو عن المحل الذي أسسه أو يستثمره للاشتغال بالمعاملات التجارية يُعدّ تاجراً وإن / لم يتخذ التجارة مهنة مألوفة له,,layout_output\raw_box_crops\page_0007\page_0007_raw_0067.png
page_0007,page_0007_raw_0068,number,0.658,,layout_label_needs_semantic_role|low_paddle_confidence|very_small_layout_box,V,,layout_output\raw_box_crops\page_0007\page_0007_raw_0068.png
page_0008,page_0008_raw_0084,paragraph_title,0.9104,0.8254,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة١,المادة,layout_output\raw_box_crops\page_0008\page_0008_raw_0084.png
page_0008,page_0008_raw_0080,paragraph_title,0.8559,0.5827,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة ١٣,المادة / ٢,layout_output\raw_box_crops\page_0008\page_0008_raw_0080.png
page_0008,page_0008_raw_0094,text,0.9536,,very_large_layout_box,١لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات / الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها / المذكورة تكون خاضعة لأحكام قانون التجارة / تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاج,,layout_output\raw_box_crops\page_0008\page_0008_raw_0094.png
page_0008,page_0008_raw_0079,text,0.9395,,very_large_layout_box,١لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات / الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها / المذكورة تكون خاضعة لأحكام قانون التجارة,,layout_output\raw_box_crops\page_0008\page_0008_raw_0079.png
page_0008,page_0008_raw_0082,paragraph_title,0.9159,0.6778,layout_label_needs_semantic_role|has_easyocr_candidate_output|very_small_layout_box,المادة ٤,المادة / ٤,layout_output\raw_box_crops\page_0008\page_0008_raw_0082.png
page_0008,page_0008_raw_0087,paragraph_title,0.8668,0.797,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة١٥,المادة,layout_output\raw_box_crops\page_0008\page_0008_raw_0087.png
page_0008,page_0008_raw_0091,paragraph_title,0.9861,0.9776,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,الثاني / الفصل,الفصل / الثاني,layout_output\raw_box_crops\page_0008\page_0008_raw_0091.png
page_0008,page_0008_raw_0089,paragraph_title,0.9669,0.9164,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,التجارة / دفاتر,دفاتر / التجارة,layout_output\raw_box_crops\page_0008\page_0008_raw_0089.png
page_0008,page_0008_raw_0090,paragraph_title,0.9673,0.7261,layout_label_needs_semantic_role|has_easyocr_candidate_output|very_small_layout_box,المادة,المادة,layout_output\raw_box_crops\page_0008\page_0008_raw_0090.png
page_0008,page_0008_raw_0088,text,0.6,0.725,has_easyocr_candidate_output|low_paddle_confidence|paddle_easyocr_disagree,على التاجر أن ينظم على الأقل الدفترين الإجباريين التاليين / tt / f,التاجر / ا - على / أن ينظم على الأقلآ الدفترين الإجباريين التاليين :,layout_output\raw_box_crops\page_0008\page_0008_raw_0088.png
page_0008,page_0008_raw_0085,text,0.9458,,very_large_layout_box,أ دفتر اليومية يقيد فيه يوماً فيوماً جميع الأعمال التي تعود بوجه من الوجوه / إلى مؤسسته التجارية وأن يقيد بالجملة شهراً فشهراً النفقات التي أنفقها على / نفسه وأسرته وإذا كان التاجر يتبع الأسلوب الآلى فى محاسبته أو مسك / الدفاتر يومية مساعدة منظمة وفق,,layout_output\raw_box_crops\page_0008\page_0008_raw_0085.png
page_0008,page_0008_raw_0093,text,0.907,0.7594,has_easyocr_candidate_output|paddle_easyocr_disagree,الدفاتر يومية مساعدة منظمة وفق أحكام المادتين ١٧و١٨ من هذا,الدفاتر / يومية مساعدة / منظمة / 9 / =فق أحكام / المادتين / ٧١ ١و١٨( من / هذا,layout_output\raw_box_crops\page_0008\page_0008_raw_0093.png
page_0008,page_0008_raw_0083,number,0.2798,,layout_label_needs_semantic_role|low_paddle_confidence|very_small_layout_box,٨,,layout_output\raw_box_crops\page_0008\page_0008_raw_0083.png
page_0009,page_0009_raw_0112,text,0.8291,,very_large_layout_box,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / ب دفتر جرد يتضمن جرداً سنوياً للموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب,,layout_output\raw_box_crops\page_0009\page_0009_raw_0112.png
page_0009,page_0009_raw_0109,text,0.953,,very_large_layout_box,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / بدفتر جرد يتضمن جرداً سنوياً للموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب ,,layout_output\raw_box_crops\page_0009\page_0009_raw_0109.png
page_0009,page_0009_raw_0114,text,0.9762,,very_small_layout_box,بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة,,layout_output\raw_box_crops\page_0009\page_0009_raw_0114.png
page_0009,page_0009_raw_0113,text,0.9738,,very_small_layout_box,يعفي من هذا الشرط المؤسسات الأجنبية التي يحددها بقرار منه,,layout_output\raw_box_crops\page_0009\page_0009_raw_0113.png
page_0009,page_0009_raw_0097,paragraph_title,0.9318,0.997,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة١,المادة,layout_output\raw_box_crops\page_0009\page_0009_raw_0097.png
page_0009,page_0009_raw_0100,paragraph_title,0.9161,0.6347,layout_label_needs_semantic_role|has_easyocr_candidate_output|very_small_layout_box,المادة٨,المادة / ٨,layout_output\raw_box_crops\page_0009\page_0009_raw_0100.png
page_0009,page_0009_raw_0099,paragraph_title,0.895,0.8589,layout_label_needs_semantic_role|has_easyocr_candidate_output|very_small_layout_box,المادة٩,المادة / ٩,layout_output\raw_box_crops\page_0009\page_0009_raw_0099.png
page_0009,page_0009_raw_0110,text,0.9636,,very_small_layout_box,يجب على التاجر أن يحفظ الدفاتر بعد اختتامها مدّة عشر سنوات,,layout_output\raw_box_crops\page_0009\page_0009_raw_0110.png
page_0009,page_0009_raw_0108,paragraph_title,0.9621,0.9893,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة٢,المادة,layout_output\raw_box_crops\page_0009\page_0009_raw_0108.png
page_0009,page_0009_raw_0096,number,0.6758,,layout_label_needs_semantic_role|low_paddle_confidence|very_small_layout_box,4,,layout_output\raw_box_crops\page_0009\page_0009_raw_0096.png
page_0010,page_0010_raw_0130,text,,,empty_paddle_text,,,layout_output\raw_box_crops\page_0010\page_0010_raw_0130.png
page_0010,page_0010_raw_0124,paragraph_title,0.8774,0.7822,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة٢١,المادة,layout_output\raw_box_crops\page_0010\page_0010_raw_0124.png
page_0010,page_0010_raw_0129,text,0.9154,0.7908,has_easyocr_candidate_output|paddle_easyocr_disagree,٢ـوللقاضى أن يأمر من تلقاء نفسه الدفاتر المذكورة للغاية ذاتها,٢- وللقاضي أن يأمر من تلقاء نفسه / الدفاتر / المذكورة للغاية ذاتها,layout_output\raw_box_crops\page_0010\page_0010_raw_0129.png
page_0010,page_0010_raw_0118,paragraph_title,0.8737,0.9598,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة٢٢,المادة,layout_output\raw_box_crops\page_0010\page_0010_raw_0118.png
page_0010,page_0010_raw_0128,text,0.9878,0.8493,has_easyocr_candidate_output|very_small_layout_box,الفصل الثالث,الفصل الثالث,layout_output\raw_box_crops\page_0010\page_0010_raw_0128.png
page_0010,page_0010_raw_0127,paragraph_title,0.957,0.8829,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,التجارة / سجل,سجل التجارة,layout_output\raw_box_crops\page_0010\page_0010_raw_0127.png
page_0010,page_0010_raw_0125,paragraph_title,0.9305,0.8766,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة ٢٣,المادة / ٣,layout_output\raw_box_crops\page_0010\page_0010_raw_0125.png
page_0010,page_0010_raw_0121,paragraph_title,0.8654,0.9478,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,المادة ٤٤,المادة ٤,layout_output\raw_box_crops\page_0010\page_0010_raw_0121.png
page_0010,page_0010_raw_0120,number,,,layout_label_needs_semantic_role|empty_paddle_text|very_small_layout_box,,,layout_output\raw_box_crops\page_0010\page_0010_raw_0120.png
page_0011,page_0011_raw_0134,text,0.945,,very_large_layout_box,المادة ٢٥ / ١يجب على كل تاجر أن يطلب من أمين سجل التجارة في المحافظة التي يوجد / فيها مركزه الرئيسي أن يسجل اسمه في سجل التجارة في خلال شهر واحد من / تاريخ فتح المحل أو شرائه / على التاجر أن يقدم تصريحاً في نسختين موقعتين منه يذكر فيه ما يلي / أ-اسمه,,layout_output\raw_box_crops\page_0011\page_0011_raw_0134.png
