page,region_id,label,selected_engine,selection_reason,confidence,text_preview
page_0004,page_0004_raw_0031,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.8875,المادة ٣
page_0004,page_0004_raw_0025,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9393,إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه / الاجتهاد القضائى وبمباديئ العدالة والإنصاف والاستقامة التجارية
page_0004,page_0004_raw_0030,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9822,المادة
page_0004,page_0004_raw_0026,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9451,١ على القاضي عند تحديد أثار العمل التجاري أن يطبق العرف المتوطد إلآإذا / ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضأً مع النصوص / التشريعية الإلزامية
page_0004,page_0004_raw_0029,number,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.7917,3
page_0005,page_0005_raw_0040,text,paddleocr_colab_rec_texts,paddle_kept,0.9173,٢ويعدّ العرف الخأص والعرف المحلي مرجحين على العرف العام
page_0005,page_0005_raw_0041,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9719,المادة
page_0005,page_0005_raw_0035,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9454,إن البورصات التجارية والمعارض والأسواق والمخازن العامة / والمستودعات وسائر المنشأت المُعدّة للتجارة تخضع على قدر الحاجة / لقوانين وأنظمة خاصة
page_0005,page_0005_raw_0036,image,paddleocr_colab_rec_texts,paddle_kept,0.94,الثاز / الباب / الأعمال التجارية
page_0005,page_0005_raw_0039,figure_title,paddleocr_colab_rec_texts,paddle_kept,0.8713,المادة٦
page_0005,page_0005_raw_0038,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9512,ثُعدّ بحكم ماهيتها الذاتية أعمالاً تجارية / أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها / أم بعد شغلها أو تحويلها / ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استثجارها لأجل تأجيرها / ثانية / جالبيع أو الاستئجار أو التأجير ثانية للأشياء المشتراة أو المستأجرة 
page_0005,page_0005_raw_0043,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.8867,تعدّ بحكم ماهيتها الذاتية أعمالاً تجارية
page_0005,page_0005_raw_0045,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9418,أـ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها / أم بعد شغلها أو تحويلها
page_0005,page_0005_raw_0042,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.8782,ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استئجارها لأجل تأجيرها / ثانية / -
page_0005,page_0005_raw_0044,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9606,جالبيع أو الاستئجار أو التأجير ثانية للأشياء المشتراة أو المستأجرة على الوجه / المبين فيما تقدم
page_0005,page_0005_raw_0037,number,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.2692,.
page_0006,page_0006_raw_0055,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9329,ك مشروع النشر / ل مشروع المخازن العامة / ممشروع المناجم والبترول / نمشروع الاشغال العقارية / سمشروع شراء العقارات لبيعها بربح / عمشروع وكالة اشغال / فـكل مشروع لإنشاء وشراء بواخر معدّة للملاحة الداخلية أو الخارجية، بقصد / استثمارها تجارياً أو بيعها وكل بيع للبواخر المشتراة على هذا الوجه / صـ جميع ال
page_0006,page_0006_raw_0062,text,easyocr,easyocr_better_low_paddle,0.6859,ك - مشروع النشر
page_0006,page_0006_raw_0060,text,paddleocr_colab_rec_texts,paddle_kept,0.9628,لـمشروع المخازن العامة
page_0006,page_0006_raw_0065,text,paddleocr_colab_rec_texts,paddle_kept,0.931,ممشروع المناجم والبترول
page_0006,page_0006_raw_0059,text,paddleocr_colab_rec_texts,paddle_kept,0.9589,نمشروع الاشغال العقارية
page_0006,page_0006_raw_0058,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9313,س مشروع شراء العقارات لبيعها بربح
page_0006,page_0006_raw_0061,text,paddleocr_colab_rec_texts,paddle_kept,0.9105,عمشروع وكالة اشغال
page_0006,page_0006_raw_0056,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9529,فـكل مشروع لإنشاء وشراء بواخر مُعدّة للملاحة الداخلية أو الخارجية، بقصد / استثمارها تجارياً أو بيعها وكل بيع للبواخر المشتراة على هذا الوجه
page_0006,page_0006_raw_0053,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9332,صـ جميع الإرساليات البحرية وكل عملية تتعلّق بها كالشراء أو بيع لوازمها من / حبال وأشرعة ومؤن
page_0006,page_0006_raw_0054,text,easyocr,easyocr_better_low_paddle,0.8003,ث - إجارة / السفن / أو التزام النقل عليها والإقراض أو الاستقراض البحريء
page_0006,page_0006_raw_0057,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9587,خوسائر العقود المختصة بالتجارة البحرية كالاتفاقات والمقاولات على أجور البحار / وبدل خدمتهم واستخدامهم للعمل على بواخر تجارية
page_0006,page_0006_raw_0063,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9884,وبدل خدمتهم واستخدامهم للعمل على بواخر تجارية
page_0006,page_0006_raw_0049,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9864,المادة
page_0006,page_0006_raw_0048,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9517,وتُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن / اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها
page_0006,page_0006_raw_0050,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9977,المادة
page_0006,page_0006_raw_0064,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9628,١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر / القانون / ٢وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس
page_0006,page_0006_raw_0052,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9724,جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعّ تجارية أيضاً في نظر / القانون
page_0006,page_0006_raw_0051,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.974,٢وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس
page_0006,page_0006_raw_0046,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.533,L
page_0006,page_0006_raw_0047,number,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.8425,7
page_0007,page_0007_raw_0071,header,paddleocr_colab_rec_texts,paddle_kept,0.7299,ا / اي
page_0007,page_0007_raw_0073,text,paddleocr_colab_rec_texts,paddle_kept,0.9515,التجار
page_0007,page_0007_raw_0076,text,paddleocr_colab_rec_texts,paddle_kept,0.8848,الفصل الأول
page_0007,page_0007_raw_0072,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9214,الفصل الأول / التجار على وجه عام والأهلية المطلوبة للاتجار / المادة ٩
page_0007,page_0007_raw_0074,text,easyocr,easyocr_preferred_for_small_article_or_number,0.9929,المادة
page_0007,page_0007_raw_0069,text,easyocr,easyocr_preferred_for_small_article_or_number,0.6784,"ا - التجار هم / أ- الأشخاص الذين تكون مهنتهم القيام بأعمال تجارية. / ب- الشركات التي يكون موضوعها تجارياً. / ٢- الشركات التي يكون موضوعها مدنيا ولكنها اتخذت صفة الشركات المساهمة أو / الشركات المحدودة المسؤولية فتخضع لجميع التزامات التجارالمعينة في الفصلين / الثاني / والثالث / الآتيين , / ولأحكام الص"
page_0007,page_0007_raw_0075,figure_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9953,المادة
page_0007,page_0007_raw_0066,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9544,إن الأفراد الذين يتعاطون تجارة صغيرة أو حرفة بسيطة ذات نفقات عامة / زهيدة بحيث يعتمدون في الغالب على مساعيهم البدنية للحصول على أرباح قليلة / لتأمين معيشهم أكثر من استادهم إلى رأس ما لهم النقدي، كالبائع الطواف أو البائع / بالمياومة أو الذين يقومون بنقليات صغيرة على البر أو سطح الماء، لا يخضعون / للو
page_0007,page_0007_raw_0070,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9981,المادة
page_0007,page_0007_raw_0067,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9391,كل من أعلن في الصحف أو النشرات أو أي واسطة أخرى عن نفسه كتاجر / أو عن المحل الذي أسسه أو يستثمره للاشتغال بالمعاملات التجارية يُعدّ تاجراً وإن / لم يتخذ التجارة مهنة مألوفة له
page_0007,page_0007_raw_0068,number,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.658,V
page_0008,page_0008_raw_0084,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.9104,المادة١
page_0008,page_0008_raw_0077,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.8896,لا يُعدّ تاجراً من قام بمعاملة تجارية عرضاً إلآأن المعاملة تكون خاضعة / لأحكام قانون التجارة
page_0008,page_0008_raw_0080,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.8559,المادة ١٣
page_0008,page_0008_raw_0094,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9536,١لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات / الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها / المذكورة تكون خاضعة لأحكام قانون التجارة / تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها / تجارياً أو منحها القانون هذ
page_0008,page_0008_raw_0079,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9395,١لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات / الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها / المذكورة تكون خاضعة لأحكام قانون التجارة
page_0008,page_0008_raw_0081,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9261,٢ـ تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها / تجارياً أو منحها القانون هذه الصفة
page_0008,page_0008_raw_0095,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9814,تجارياً أو منحها القانون هذه الصفة
page_0008,page_0008_raw_0082,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.9159,المادة ٤
page_0008,page_0008_raw_0078,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9533,إذا اشتغل العاملون في الدولة الممنوعون من الاتجار قانوناً بالمعاملات / التجارية، فتشملهم الأحكام القانونية المتعلقة بالصلح الواقى والإفلاس
page_0008,page_0008_raw_0092,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.8801,المادة ٥ / تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار
page_0008,page_0008_raw_0087,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.8668,المادة١٥
page_0008,page_0008_raw_0086,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9686,تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار
page_0008,page_0008_raw_0091,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9776,الفصل / الثاني
page_0008,page_0008_raw_0089,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.9669,التجارة / دفاتر
page_0008,page_0008_raw_0090,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.9673,المادة
page_0008,page_0008_raw_0088,text,easyocr,easyocr_better_low_paddle,0.725,التاجر / ا - على / أن ينظم على الأقلآ الدفترين الإجباريين التاليين :
page_0008,page_0008_raw_0085,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9458,أ دفتر اليومية يقيد فيه يوماً فيوماً جميع الأعمال التي تعود بوجه من الوجوه / إلى مؤسسته التجارية وأن يقيد بالجملة شهراً فشهراً النفقات التي أنفقها على / نفسه وأسرته وإذا كان التاجر يتبع الأسلوب الآلى فى محاسبته أو مسك / الدفاتر يومية مساعدة منظمة وفق أحكام المادتين ١٧و١٨ من هذا
page_0008,page_0008_raw_0093,text,paddleocr_colab_rec_texts,paddle_kept,0.907,الدفاتر يومية مساعدة منظمة وفق أحكام المادتين ١٧و١٨ من هذا
page_0008,page_0008_raw_0083,number,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.2798,٨
page_0009,page_0009_raw_0112,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.8291,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / ب دفتر جرد يتضمن جرداً سنوياً للموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر / وينسخها في دفتر الجرد / وعليه 
page_0009,page_0009_raw_0103,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9547,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة
page_0009,page_0009_raw_0109,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.953,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ / بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة / بدفتر جرد يتضمن جرداً سنوياً للموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر / وينسخها في دفتر الجرد / وعليه أ
page_0009,page_0009_raw_0111,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9497,القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً على أن يحتفظ
page_0009,page_0009_raw_0114,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9762,بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة
page_0009,page_0009_raw_0104,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9466,بدفتر جرد يتضمن جرداً سنوياً للموجودات والمطاليب العائدة لمؤسسته وأن / يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر / وينسخها في دفتر الجرد
page_0009,page_0009_raw_0102,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9626,وعليه أن يحفظ ويرتب المراسلات التي يتلقاها وصور المراسلات التي / يرسلها
page_0009,page_0009_raw_0107,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9573,٣يجب تتظيم دفتري اليومية والجرد باللغة العربية ولوزير الاقتصاد والتجارة أن / يعفي من هذا الشرط المؤسسات الأجنبية التي يحددها بقرار منه
page_0009,page_0009_raw_0113,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9738,يعفي من هذا الشرط المؤسسات الأجنبية التي يحددها بقرار منه
page_0009,page_0009_raw_0097,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.997,المادة
page_0009,page_0009_raw_0098,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9538,يجب أن تنظم الدفاتر التجارية الإجبارية بحسب التاريخ وبلا بياض ولا فراغ / ولا نقل إلى الهامش ولا محو ولا تحشية بين السطور
page_0009,page_0009_raw_0100,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.9161,المادة٨
page_0009,page_0009_raw_0101,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9503,يجب ترقيم الدفاتر المذكورة والتأشير عليها وتوقيعها من رئيس محكمة البداية / المدنية أو من قاضي الصلح في المدن التي لا توجد فيها محكمة بداية
page_0009,page_0009_raw_0099,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.8589,المادة / ٩
page_0009,page_0009_raw_0105,formula,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9377,١يجب على التاجر أن يحفظ الدفاتر بعد اختتامها مدّة عشر سنوات / ٢للمؤسسات التجارية التى يعينها وزير الاقتصاد والتجارة أن تحتفظ للمدّة المذكورة / في الفقرة السابقة بالصورة بأية وسيلة إلكترونية تعتمدها وزارة الاقتصاد والتجارة / بدلاأ من الأصل وتكون للصورة حجية الأصل فى الإثبات
page_0009,page_0009_raw_0110,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9636,يجب على التاجر أن يحفظ الدفاتر بعد اختتامها مدّة عشر سنوات
page_0009,page_0009_raw_0108,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9893,المادة
page_0009,page_0009_raw_0106,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9563,لا ثسلّم الدفاتر بكاملها إلى القضاء إلآ في أحوال الإرث وقسمة الأموال / المشتركة والشركة والصلح الواقي والإفلاس
page_0009,page_0009_raw_0096,number,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.6758,4
page_0010,page_0010_raw_0130,text,none,both_empty,,
page_0010,page_0010_raw_0124,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.8774,المادة٢١
page_0010,page_0010_raw_0123,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9351,فيما عدا الأحوال المذكورة في المادة السابقة يمكن على الدوام عرض الدفاتر / التجارية أو المطالبة بإبرازها لاستخلاص ما يتعلّق منها بالنزاع / وللقاضى أن يأمر من تلقاء نفسه الدفاتر المذكورة للغاية ذاتها
page_0010,page_0010_raw_0129,text,paddleocr_colab_rec_texts,paddle_kept,0.9154,٢ـوللقاضى أن يأمر من تلقاء نفسه الدفاتر المذكورة للغاية ذاتها
page_0010,page_0010_raw_0118,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9598,المادة
page_0010,page_0010_raw_0115,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9647,يمكن للتجار مسك حساباتهم إلكترونياً وفقا للتعليمات التنفيذية التي تصدر / عن وزارة الاقتصاد والتجارة
page_0010,page_0010_raw_0128,text,paddleocr_colab_rec_texts,paddle_kept,0.9878,الفصل الثالث
page_0010,page_0010_raw_0127,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.957,التجارة / سجل
page_0010,page_0010_raw_0125,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.9305,المادة ٢٣
page_0010,page_0010_raw_0131,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9383,سجل التجارة يمكن الجمهور من الحصول على المعلومات الوافية عن كل / المؤسسات التجارية التي تعمل في سورية / ٢وهو أيضاً أداة للشهر يقصد بها جعل من درجاته نافذة في حق الغير عند وجود / نص قانوني صريح بهذا المعنى
page_0010,page_0010_raw_0122,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9612,سجل التجارة يمكن الجمهور من الحصول على المعلومات الوافية عن كل / المؤسسات التجارية التي تعمل في سورية
page_0010,page_0010_raw_0126,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.945,٢ـوهو أيضاً أداة للشهر يقصد بها جعل من درجاته نافذة في حق الغير عند وجود / نص قانوني صريح بهذا المعنى
page_0010,page_0010_raw_0121,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9478,المادة ٤
page_0010,page_0010_raw_0119,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9563,١ينظم لدى وزارة الاقتصاد والتجارة سجل خاص بفروع المؤسسات التجارية / والشركات التي يوجد مركزها خارج سورية
page_0010,page_0010_raw_0116,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9543,٢ينظم لدى وزارة الاقتصاد والتجارة فى كل محافظة سجل لتسجيل أسماء التجار / والشركات التجارية والشركات المدنية وباقي المؤسسات التجارية يُطّلق عليها / سجل التجارة
page_0010,page_0010_raw_0117,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9461,يتولى مسك السجل موظف يُطلق عليه أمين سجل التجارة وعليه أن يباشر / وظيفته أن يحلف اليمين أمام محكمة البداية المدنية، على أن يقوم بوظيفته / بشرف وأمانة
page_0010,page_0010_raw_0120,number,none,both_empty,,
page_0011,page_0011_raw_0132,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9473,تسجل أسماء التجار الذي تكون متاجرهم الرئيسية في سورية، مهما كانت / جنسيتهم
page_0011,page_0011_raw_0134,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.945,المادة ٢٥ / ١يجب على كل تاجر أن يطلب من أمين سجل التجارة في المحافظة التي يوجد / فيها مركزه الرئيسي أن يسجل اسمه في سجل التجارة في خلال شهر واحد من / تاريخ فتح المحل أو شرائه / على التاجر أن يقدم تصريحاً في نسختين موقعتين منه يذكر فيه ما يلي / أ-اسمه ونسبته / باسمه التجاري إذا اختلف عن اسمه وعنوانه 
page_0011,page_0011_raw_0135,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9896,المادة
page_0011,page_0011_raw_0133,number,none,both_empty,,
page_0012,page_0012_raw_0140,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.9171,المادة٢٦
page_0012,page_0012_raw_0142,formula,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.936,المادة٦ / ١يجب أن يذكر في سجل التجارة / أـ كل تعديل يتعلّق بالأمور التي تقضي المادة السابقة بقيدها في السجل / بشهادات الاختراع التي يستثمرها التاجر والعلامات التي يستعملها للمصنع / أو التجارة / جالأحكام والقرارات القاضية بتعيين وصيّ عليه أو قيّم أو مساعد قضائي / للتاجر المسجل أو بالحجر عليه أو برفع 
