crop_id,page,page_number,order,label,layout_score,x1,y1,x2,y2,width,height,n_lines,mean_rec_score,text,crop_path,ocr_ok
page_0004_003_text,page_0004,4,3,text,0.958302915096283,347,837,1325,1007,978,170,3,0.9556,"يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي
شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق
على الأشخاص الذين اتخذوا التجارة مهنة",./crops\page_0004\page_0004_003_text.png,True
page_0004_004_paragraph_title,page_0004,4,4,paragraph_title,0.798930287361145,773,1033,899,1076,126,43,1,0.9398,المادة٢,./crops\page_0004\page_0004_004_paragraph_title.png,True
page_0004_005_text,page_0004,4,5,text,0.8624343872070312,349,1096,1321,1269,972,173,3,0.9392,"إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني
٢ على أن تطبق هذه الأحكام لا يكون إلاآً على نسبة اتفاقها مع المبادىئ المختصة
بالقانون التجاري والعرف التجاري",./crops\page_0004\page_0004_005_text.png,True
page_0004_006_paragraph_title,page_0004,4,6,paragraph_title,0.744592010974884,774,1293,902,1335,128,42,1,0.9945,المادة٣,./crops\page_0004\page_0004_006_paragraph_title.png,True
page_0004_007_text,page_0004,4,7,text,0.9506476521492004,352,1357,1329,1472,977,115,2,0.9664,"إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه
الاجتهاد القضائي وبمبادئ العدالة والإنصاف والاستقامة التجارية",./crops\page_0004\page_0004_007_text.png,True
page_0004_008_paragraph_title,page_0004,4,8,paragraph_title,0.754129946231842,780,1493,904,1534,124,41,1,0.9107,المادة ٤,./crops\page_0004\page_0004_008_paragraph_title.png,True
page_0004_009_text,page_0004,4,9,text,0.912895143032074,354,1551,1323,1726,969,175,3,0.9521,"١ على القاضي عند تحديد آثار العمل التجاري أن يطبق العرف المتوطد إلآإذا
ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضاً مع النصوص
التشريعية الإلزامية",./crops\page_0004\page_0004_009_text.png,True
page_0004_010_number,page_0004,4,10,number,0.7635974884033203,830,1771,853,1805,23,34,1,0.2221,A,./crops\page_0004\page_0004_010_number.png,True
page_0005_001_text,page_0005,5,1,text,0.5617988705635071,501,233,1316,287,815,54,1,0.9287,٢ـويُعدّ العرف الخأص والعرف المحلي مرجحين على العرفالعام,./crops\page_0005\page_0005_001_text.png,True
page_0005_002_paragraph_title,page_0005,5,2,paragraph_title,0.5005205869674683,768,306,895,351,127,45,1,0.9993,المادة,./crops\page_0005\page_0005_002_paragraph_title.png,True
page_0005_003_text,page_0005,5,3,text,0.9473426342010498,342,370,1321,546,979,176,4,0.9123,"التجاارية والمعارض والأسواقوالمخازن العامة
إن البورصات
والمستودعات وسائر المنشات المُعدّة للتجارة تخضع على قدر الحاجة
لقوانين وأنظمة خاصة",./crops\page_0005\page_0005_003_text.png,True
page_0005_004_figure_title,page_0005,5,4,figure_title,0.6277923583984375,769,806,895,851,126,45,1,0.9279,المادة٧,./crops\page_0005\page_0005_004_figure_title.png,True
page_0005_005_text,page_0005,5,5,text,0.674835205078125,342,872,1327,1734,985,862,15,0.9491,"ثعدّ بحكم ماهيتها الذاتية أعمالاً تجارية
أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها
أم بعد شغلها أو تحويلها
ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استثجارها لأجل تأجيرها
ثانية
جالبيع أو الاستئجار أو التأجير ثانية للأشياء المشترة أو المستأجرة على الوجه
المبين فيما تقدم
د أعمال الصرافة والمبادلة المالية ومعاملات المصارف العامة والخاصة
همشروع التوريد
ومشروع المصانع وإن يكن مقترناً باستثمار زراعي، إلآ إذا كان تحويل المواد يتم
بعمل يدوي بسيط
زـ مشروع النقل براً أو جواً أو على سطح الماء
حمشروع الوكالة والسمسرة
طـمشروع التأمين بأنواعه
يمشروع المشاهد العامة",./crops\page_0005\page_0005_005_text.png,True
page_0005_006_number,page_0005,5,6,number,0.7656030058860779,820,1750,845,1780,25,30,0,,,./crops\page_0005\page_0005_006_number.png,True
page_0006_001_text,page_0006,6,1,text,0.4000002145767212,338,232,1322,1047,984,815,13,0.9417,"ك مشروع النشر
لمشروع المخازن العامة
ممشروع المناجم والبترول
نمشروع الاشغال العقارية
سمشروع شراء العقارات لبيعها بربح
عمشروع وكالة اشغال
فـكل مشروع لإنشاء وشراء بواخر مُعدّة للملاحة الداخلية أو الخارجية، بقصد
استثمارها تجارياً أو بيعها وكل بيع للبواخر المشتراة على هذا الوجه
ص جميع الإرساليات البحرية وكل عملية تتعلّق بها كالشراء أو بيع لوازمها من
حبال وأشرعة ومؤن
ث  إجارة السفن أو التزام النقل عليها والإقراض أو الاستقراض البحري
خوسائر العقود المختصة بالتجارة البحرية كالاتفاقات والمقاولات على أجور البحار
وبدل خدمتهم واستخدامهم للعمل على بواخر تجارية",./crops\page_0006\page_0006_001_text.png,True
page_0006_002_paragraph_title,page_0006,6,2,paragraph_title,0.6253847479820251,761,1063,889,1105,128,42,1,0.9511,المادة,./crops\page_0006\page_0006_002_paragraph_title.png,True
page_0006_003_text,page_0006,6,3,text,0.7276723384857178,337,1123,1315,1240,978,117,2,0.954,"وثُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن
اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها",./crops\page_0006\page_0006_003_text.png,True
page_0006_004_paragraph_title,page_0006,6,4,paragraph_title,0.5686819553375244,761,1264,888,1307,127,43,1,0.9439,المادة,./crops\page_0006\page_0006_004_paragraph_title.png,True
page_0006_005_text,page_0006,6,5,text,0.2714522182941437,338,1320,1310,1564,972,244,4,0.9752,"١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر
القانون
وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت
العكس",./crops\page_0006\page_0006_005_text.png,True
page_0006_006_text,page_0006,6,6,text,0.8278083801269531,753,1595,893,1634,140,39,0,,,./crops\page_0006\page_0006_006_text.png,True
page_0006_007_number,page_0006,6,7,number,0.7796631455421448,809,1743,835,1776,26,33,1,0.205,5,./crops\page_0006\page_0006_007_number.png,True
page_0007_001_header,page_0007,7,1,header,0.5241960883140564,668,246,1001,326,333,80,2,0.4727,"ارار
ايب",./crops\page_0007\page_0007_001_header.png,True
page_0007_002_text,page_0007,7,2,text,0.39594942331314087,776,355,901,413,125,58,1,0.8473,ااتجار,./crops\page_0007\page_0007_002_text.png,True
page_0007_003_text,page_0007,7,3,text,0.5036161541938782,522,459,1150,654,628,195,3,0.9179,"الفصل الأول
التجار على وجه عام والأهلية المطلوبة للاتجار
المادة ٩",./crops\page_0007\page_0007_003_text.png,True
page_0007_004_text,page_0007,7,4,text,0.6368142366409302,344,680,1316,1094,972,414,7,0.5352,"٢ا-
ا ة   ي  يي  ة عمي   ييي
في يي  ة  ي   ي
الةي ص     ي  ي   ي ي لي و  وو لوة     ل اة
يي ي ل  ي ي لقلويي  ل وي لي و ل  ل لO ل   ع  ي ي
لييلل  ليل و يولهم لو  ل   إل٥ص لل ي ل  لح ي
المادة",./crops\page_0007\page_0007_004_text.png,True
page_0007_005_text,page_0007,7,5,text,0.9373977184295654,338,1110,1318,1480,980,370,6,0.9509,"إن الأفراد الذين يتعاطون تجارة صغيرة أو حرفة بسيطة ذات نفقات عامة
زهيدة بحيث يعتمدون في الغالب على مساعيهم البدنية للحصول على أرباح قليلة
لتأمين معيشهم أكثر من استادهم إلى رأس ما لهم النقدي، كالبائع الطواف أو البائع
بالمياومة أو الذين يقومون بنقليات صغيرة على البر أو سطحالماء، لا يخضعون
للواجبات المختصة بالدفاتر التجارية ولا لقواعد الشهر ولا لأحكام الإفلاس والصلح
الواقي المنصوص عليها في هذا القانون",./crops\page_0007\page_0007_005_text.png,True
page_0007_006_paragraph_title,page_0007,7,6,paragraph_title,0.5600416660308838,752,1496,900,1539,148,43,1,0.994,المادة,./crops\page_0007\page_0007_006_paragraph_title.png,True
page_0007_007_text,page_0007,7,7,text,0.9300873875617981,336,1555,1315,1741,979,186,3,0.9399,"كل من أعلن فى الصحف أو النشرات أو أي واسطة أخرى عن نفسه كتاجر
أو عن المحل الذي أسسه أو يستثمره للاشتغال بالمعاملات التجارية يُعدّ تاجراً وإن
لم يتخذ التجارة مهنة مألوفة له",./crops\page_0007\page_0007_007_text.png,True
page_0007_008_number,page_0007,7,8,number,0.7969633936882019,804,1755,835,1790,31,35,1,0.8067,V,./crops\page_0007\page_0007_008_number.png,True
page_0008_001_paragraph_title,page_0008,8,1,paragraph_title,0.7263544797897339,743,243,889,286,146,43,1,0.9253,المادة١,./crops\page_0008\page_0008_001_paragraph_title.png,True
page_0008_002_text,page_0008,8,2,text,0.9272584915161133,326,302,1305,418,979,116,2,0.9273,"لا يُعدّ تاجراً من قام بمعاملة تجارية عرضاً إلآ أن المعاملة تكون خاضعة
لأحكام قانون التجارة",./crops\page_0008\page_0008_002_text.png,True
page_0008_003_paragraph_title,page_0008,8,3,paragraph_title,0.7683437466621399,744,444,891,489,147,45,1,0.8863,المادة ٣,./crops\page_0008\page_0008_003_paragraph_title.png,True
page_0008_004_text,page_0008,8,4,text,0.2633571922779083,329,501,1304,805,975,304,5,0.9522,"لا ثعدّ الدولة ودوائرها ولا الوحدات الإدارية واللجان والنوادي والجمعيات ذات
الشخصية الاعتبارية من التجار وإن قامت بمعاملات تجارية، إلآ أن معاملاتها
المذكورة تكون خاضعة لأحكام قانون التجارة
تعتبر المؤسسات العامة وشركات القطاع العام والمشترك تاجراً، إذا كان موضوعها
تجارياً أو منحها القانون هذه الصفة",./crops\page_0008\page_0008_004_text.png,True
page_0008_005_paragraph_title,page_0008,8,5,paragraph_title,0.7641247510910034,749,828,895,871,146,43,1,0.9401,المادة ٤,./crops\page_0008\page_0008_005_paragraph_title.png,True
page_0008_006_text,page_0008,8,6,text,0.8924367427825928,335,890,1312,1005,977,115,2,0.9636,"إذا اشتغل العاملون في الدولة الممنوعون من الاتجار قانوناً بالمعاملات
التجارية، فتشملهم الأحكام القانونية المتعلّقة بالصلح الواقي والإفلاس",./crops\page_0008\page_0008_006_text.png,True
page_0008_007_text,page_0008,8,7,text,0.30938446521759033,363,1025,1241,1147,878,122,2,0.9215,"المادة ٥
تخضع الأهلية التجارية لأحكام القانون المدني وللأحكام الخاصة بالتجار",./crops\page_0008\page_0008_007_text.png,True
page_0008_008_paragraph_title,page_0008,8,8,paragraph_title,0.49097755551338196,717,1190,933,1254,216,64,2,0.9683,"الثاني
الفصل",./crops\page_0008\page_0008_008_paragraph_title.png,True
page_0008_009_paragraph_title,page_0008,8,9,paragraph_title,0.5657481551170349,730,1271,923,1327,193,56,2,0.9622,"التجارة
دفاتر",./crops\page_0008\page_0008_009_paragraph_title.png,True
page_0008_010_paragraph_title,page_0008,8,10,paragraph_title,0.5558823943138123,756,1350,903,1395,147,45,1,0.8772,المادة٦,./crops\page_0008\page_0008_010_paragraph_title.png,True
page_0008_011_text,page_0008,8,11,text,0.5998273491859436,533,1409,1312,1469,779,60,3,0.924,"التاليين
الإجباريين
ـ على التاجر أن ينظم على الأقل الدفترين",./crops\page_0008\page_0008_011_text.png,True
page_0008_012_text,page_0008,8,12,text,0.7070149183273315,341,1468,1277,1718,936,250,4,0.9377,"أـ دفتر اليومية يقيد فيه يوماً فيوماً جميع الأعمال التي تعود بوجه من الوجوه
إلى مؤسسته التجارية وأن يقيد بالجملة شهراً فشهراً النفقات التي أنفقها على
نفسه وأسرته وإذا كان التاجر يتبع الأسلوب الآلي في محاسبته أو مسك
الدفاتر يومية مساعدة منظمة وفقأحكامالمادتين١و٨منها",./crops\page_0008\page_0008_012_text.png,True
page_0008_013_number,page_0008,8,13,number,0.7560209631919861,816,1753,846,1790,30,37,1,0.9147,7,./crops\page_0008\page_0008_013_number.png,True
page_0009_001_text,page_0009,9,1,text,0.3235388994216919,346,234,1323,813,977,579,9,0.9584,"القانون، فله أن يقيد أعماله فى دفتر اليومية شهراً فشهراً، على أن يحتفظ
بجميع الوثائق التي تتيح التدقيق في الأعمال المذكورة
بـدفتر جرد يتضمن جرداً سنوياًللموجودات والمطاليب العائدة لمؤسسته وأن
يوقف حساباته سنوياً ليضع على أساسها الميزانية وحساب الأرباح والخسائر
وينسخها في دفتر الجرد
وعليه أن يحفظ ويرتب المراسلات التي يتلقاها وصور المراسلات التي
يرسلها
٣يجب تنظيم دفتري اليومية والجرد باللغة العربية ولوزير الإقتصاد والتجارة أن
يعفي من هذا الشرط المؤسسات الأجنبية التي يحددها بقرار منه",./crops\page_0009\page_0009_001_text.png,True
page_0009_002_paragraph_title,page_0009,9,2,paragraph_title,0.6964437365531921,760,826,909,868,149,42,1,0.9532,المادة,./crops\page_0009\page_0009_002_paragraph_title.png,True
page_0009_003_text,page_0009,9,3,text,0.6734103560447693,341,886,1325,1004,984,118,2,0.9477,"يجب أن تتظم الدفاتر التجارية الإجبارية بحسب التاريخوبلا بياض ولا فراغ
ولا نقل إلى الهامش ولا محو ولا تحشية بين السطور",./crops\page_0009\page_0009_003_text.png,True
page_0009_004_paragraph_title,page_0009,9,4,paragraph_title,0.6417863368988037,759,1025,907,1069,148,44,1,0.9474,المادة,./crops\page_0009\page_0009_004_paragraph_title.png,True
page_0009_005_text,page_0009,9,5,text,0.5950726866722107,342,1086,1321,1205,979,119,2,0.9588,"يجب ترقيم الدفاتر المذكورة والتأشير عليها وتوقيعها من رئيس محكمة البداية
المدنية أو من قاضي الصلح في المدن التي لا توجد فيها محكمة بداية",./crops\page_0009\page_0009_005_text.png,True
page_0009_006_paragraph_title,page_0009,9,6,paragraph_title,0.6606019735336304,757,1221,906,1265,149,44,1,0.8674,المادة٩,./crops\page_0009\page_0009_006_paragraph_title.png,True
page_0009_007_text,page_0009,9,7,text,0.3058672845363617,472,1285,1313,1340,841,55,1,0.9399,يجب على التاجر أن يحفظ الدفاتر بعد اختتامها مدّة عشر سنوات,./crops\page_0009\page_0009_007_text.png,True
page_0009_008_paragraph_title,page_0009,9,8,paragraph_title,0.45674827694892883,752,1551,902,1595,150,44,2,0.6692,"٢
المادة",./crops\page_0009\page_0009_008_paragraph_title.png,True
page_0009_009_text,page_0009,9,9,text,0.48179391026496887,338,1605,1316,1737,978,132,2,0.946,"لا ثُسلّم الدفاتر بكاملها إلى القضاء إلآ في أحوال الإرث وقسمة الأموال
المشتركة والشركة والصلح الواقي والإفلاس",./crops\page_0009\page_0009_009_text.png,True
page_0009_010_number,page_0009,9,10,number,0.776057779788971,811,1756,836,1790,25,34,1,0.9088,0,./crops\page_0009\page_0009_010_number.png,True
page_0010_001_text,page_0010,10,1,text,0.30737823247909546,327,0,1287,102,960,102,0,,,./crops\page_0010\page_0010_001_text.png,True
page_0010_002_paragraph_title,page_0010,10,2,paragraph_title,0.7342394590377808,743,241,890,287,147,46,1,0.8438,المادة٢١,./crops\page_0010\page_0010_002_paragraph_title.png,True
page_0010_003_text,page_0010,10,3,text,0.7435587048530579,332,303,1302,483,970,180,3,0.9546,"فيما عدا الأحوال المذكورة في المادة السابقة يمكن علىالدوام عرض الدفاتر
التجارية أو المطالبة بإبرازها لاستخلاص ما يتعلّق منها بالنزاع
وللقاضى أن يأمر من تلقاء نفسه الدفاتر المذكورة للغاية ذاتها",./crops\page_0010\page_0010_003_text.png,True
page_0010_004_paragraph_title,page_0010,10,4,paragraph_title,0.7950047850608826,744,504,893,548,149,44,1,0.9169,المادة ٢٢,./crops\page_0010\page_0010_004_paragraph_title.png,True
page_0010_005_text,page_0010,10,5,text,0.9091498851776123,334,567,1306,679,972,112,3,0.9446,"التنفيذية التي تصدر
يمكن للتجار مسك حساباتهم إلكترونياً وفقاً للتعليمات
عن وزارة الاقتصاد والتجارة",./crops\page_0010\page_0010_005_text.png,True
page_0010_006_text,page_0010,10,6,text,0.3848838210105896,703,709,929,773,226,64,1,0.9706,الفصل الثالث,./crops\page_0010\page_0010_006_text.png,True
page_0010_007_paragraph_title,page_0010,10,7,paragraph_title,0.45950281620025635,718,790,918,846,200,56,2,0.9834,"التجارة
سجل",./crops\page_0010\page_0010_007_paragraph_title.png,True
page_0010_008_paragraph_title,page_0010,10,8,paragraph_title,0.670905590057373,746,867,896,914,150,47,1,0.9114,المادة ٢٣,./crops\page_0010\page_0010_008_paragraph_title.png,True
page_0010_009_text,page_0010,10,9,text,0.3064038157463074,335,928,1307,1173,972,245,4,0.952,"سجل التجارة يمكن الجمهور من الحصول على المعلومات الوافية عن كل
المؤسسات التجارية التي تعمل في سورية
وهو أيضاً أداة للشهر يقصد بها جعل من درجاته نافذة فيحق الغير عند وجود
نص قانوني صريح بهذا المعنى",./crops\page_0010\page_0010_009_text.png,True
page_0010_010_paragraph_title,page_0010,10,10,paragraph_title,0.7776631712913513,750,1181,899,1226,149,45,1,0.9256,المادة ٢٤,./crops\page_0010\page_0010_010_paragraph_title.png,True
page_0010_011_text,page_0010,10,11,text,0.7917762994766235,337,1244,1307,1363,970,119,2,0.9346,"١ينظم لدى وزارة الاقتصاد والتجارة سجل خاص بفروع المؤسسات التجارية
والشركات التي يوجد مركزها خارج سورية",./crops\page_0010\page_0010_011_text.png,True
page_0010_012_text,page_0010,10,12,text,0.8588201999664307,340,1368,1308,1541,968,173,3,0.9514,"ينظم لدى وزارة الاقتصاد والتجارة فى كل محافظة سجل لتسجيل أسماء التجار
والشركات التجارية والشركات المدنية وباقي المؤسسات التجارية يُطّلق عليها
سجل التجارة",./crops\page_0010\page_0010_012_text.png,True
page_0010_013_text,page_0010,10,13,text,0.8394680619239807,342,1551,1311,1729,969,178,3,0.9563,"٣ـيتولى مسك السجل موظف يُطّلق عليه أمين سجل التجارة وعليه أن يباشر
وظيفته أن يحلف اليمين أمام محكمة البداية المدنية، على أن يقوم بوظيفته
بشرف وأمانة",./crops\page_0010\page_0010_013_text.png,True
page_0010_014_number,page_0010,10,14,number,0.7879440188407898,805,1757,850,1791,45,34,0,,,./crops\page_0010\page_0010_014_number.png,True
page_0011_001_text,page_0011,11,1,text,0.912165105342865,363,211,1339,339,976,128,2,0.9624,"تسجل أسماء التجار الذي تكون متاجرهم الرئيسية في سورية، مهما كانت
جنسيتهم",./crops\page_0011\page_0011_001_text.png,True
page_0011_002_text,page_0011,11,2,text,0.5977453589439392,338,350,1327,1719,989,1369,22,0.9504,"المادة ٢٥
١يجب على كل تاجر أن يطلب من أمين سجل التجارة في المحافظة التي يوجد
فيها مركزه الرئيسي أن يسجل اسمه في سجل التجارة في خلال شهر واحد من
تاريخ فتح المحل أو شرائه
ـ على التاجر أن يقدم تصريحاً في نسختين موقعتين منه يذكر فيه ما يلي
أ- اسمه ونسبته
باسمه التجاري إذا اختلف عن اسمه وعنوانه التجاري
جتاريخ ولادته ومحلها وموطنه
دـ جنسيته الأصلية، وإذا كان قد حصل على جنسية أخرى، فيبين طريقة
حصوله عليها مع ذكر التاريخ
هوإذا كان الأمر يختص بامرأة متزوجة تابعة لجنسية أجنبية يقضي قانون
الأحوال الشخصية الذي تخضع له بألا تتعاطى التجارة إلآ بترخيص صريح
من زوجها، فيذكر الترخيص المعطى لها وفاقاً للقانون المشار إليه
والنظام المالى للزوجين إذا اختلف عن أحكام القانون السوري والاتفاقية
المعقودة بينهما وذلك في حال وجودها
ز موضوع التجارة
حالمتاجر التي يستثمرها التاجر أو التي سبق له استثمارها في سورية ومكانها
ط شعائر المتجر إن وجد
يأسماء المفوضين بالنيابة عنهم ونسبتهم وتاريخ ولادتهم ومحلها
وجنسيتهم
٣ـينقل أمين السجل محتوى التصريح إلى سجل التجارة ويُسلّم التاجر إحدى نسختي
التصريح بعد أن يصادق في آخرها على أنها مطابقة للأصل",./crops\page_0011\page_0011_002_text.png,True
page_0011_003_number,page_0011,11,3,number,0.8093596696853638,792,1732,838,1767,46,35,0,,,./crops\page_0011\page_0011_003_number.png,True
page_0012_001_paragraph_title,page_0012,12,1,paragraph_title,0.40353965759277344,729,215,878,260,149,45,1,0.8859,المادة ٢٦,./crops\page_0012\page_0012_001_paragraph_title.png,True
page_0012_002_paragraph_title,page_0012,12,2,paragraph_title,0.4352579414844513,749,1155,900,1201,151,46,1,0.9286,المادة٧,./crops\page_0012\page_0012_002_paragraph_title.png,True
page_0012_003_reference_content,page_0012,12,3,reference_content,0.4031771123409271,337,1214,1307,1454,970,240,4,0.968,"١إن الشركات التي يكون مركزها الرئيسي في سورية مهما كانت جنسيتها، يجب
تسجيلها في سجل التجارة المختص بمنطقة مركزها الرئيسي، ويجب على
مديريها وأعضاء مجلس إدارتها أن يطلبوا التسجيل في خلال الشهر الذي يلي
تأسيسها",./crops\page_0012\page_0012_003_reference_content.png,True
page_0012_004_reference_content,page_0012,12,4,reference_content,0.4428160488605499,344,1458,1314,1701,970,243,4,0.934,"٢ـويقدم طالبو التسجيل إلى أمين سجل التجارة صورة مصدّقة عن صك تأسيس
الشركة أو نظامها الأساسى وخلاصة لهذا الصك أو النظام مُعدّة للشهر ومنظمة
على نسختين ومشتملة على الطوابع وعلى تواقيع طالبيالتسجيل ومتضمنه
بوجه خاص البيانات الآتية",./crops\page_0012\page_0012_004_reference_content.png,True
page_0012_005_number,page_0012,12,5,number,0.7906366586685181,812,1723,860,1759,48,36,1,0.7128,١,./crops\page_0012\page_0012_005_number.png,True
page_0013_001_paragraph_title,page_0013,13,1,paragraph_title,0.3977346122264862,780,890,929,934,149,44,1,0.9438,المادة٢٨,./crops\page_0013\page_0013_001_paragraph_title.png,True
page_0013_002_text,page_0013,13,2,text,0.27485692501068115,364,1135,1336,1318,972,183,3,0.9585,"٢الاسم والنسبة وتاريخ الولادة ومحلها والجنسية لكل من مديري الشركة وأعضاء
مجلس إدارتها ومديريها المعينين لمدّة وجودها أما طلب التسجيل فيقدمه المديرون
وأعضاء مجلس الإدارة القائمون بوظائفهم في وقت وجوب التسجيل",./crops\page_0013\page_0013_002_text.png,True
page_0013_003_text,page_0013,13,3,text,0.3486230969429016,358,1575,1341,1762,983,187,3,0.9606,"الشركات التجارية المؤسسة خارج الأراضي السورية ولها فروع أو وكالات في
سورية وكذلك التجار الذين لهم مركز رئيسي في الخارج وفروع أو وكالات في سورية
مهما كانت جنسيتهم",./crops\page_0013\page_0013_003_text.png,True
page_0013_004_number,page_0013,13,4,number,0.7840940356254578,822,1773,873,1807,51,34,1,0.8605,١٣,./crops\page_0013\page_0013_004_number.png,True
page_0014_001_paragraph_title,page_0014,14,1,paragraph_title,0.6444593667984009,733,258,879,302,146,44,1,0.8821,المادة ٢٩,./crops\page_0014\page_0014_001_paragraph_title.png,True
page_0014_002_text,page_0014,14,2,text,0.9286908507347107,318,329,1297,444,979,115,2,0.9735,"يخضع تسجيل مثل تلك الفروع أو الوكالات لأحكام القانون الخاص بتسجيلها
في سورية",./crops\page_0014\page_0014_002_text.png,True
page_0014_003_paragraph_title,page_0014,14,3,paragraph_title,0.6964360475540161,674,453,940,530,266,77,1,0.9253,الشركات المدنية,./crops\page_0014\page_0014_003_paragraph_title.png,True
page_0014_004_paragraph_title,page_0014,14,4,paragraph_title,0.629942774772644,731,558,883,603,152,45,2,0.9543,"٣
المادة",./crops\page_0014\page_0014_004_paragraph_title.png,True
page_0014_005_text,page_0014,14,5,text,0.8475376963615417,299,619,1288,855,989,236,4,0.9549,"١يحدث في أمانة سجل التجارة سجل خاص بالشركات المدنية التي يقع
مركزها الرئيسي في المحافظة تسجل فيه الشركات وفق أحكام المادتين ٢٧
٨ من هذا القانون باستثناء ما يتوقف العمل به على الصفة التجارية
للشركة",./crops\page_0014\page_0014_005_text.png,True
page_0014_006_text,page_0014,14,6,text,0.8133718371391296,319,867,1293,1044,974,177,3,0.4684,"  ه ل   ة   ي  لو  ي  ا يم     ي  
 عم ييل   ل ٥ةي  ل  لل   ي لا  ي ل ل٥  O ل  ي  لويل لا يي
ي ا ييإ ي    ي",./crops\page_0014\page_0014_006_text.png,True
page_0014_007_text,page_0014,14,7,text,0.8278283476829529,322,1052,1296,1232,974,180,3,0.9448,"٣ـ على الشركات المذكورة فى الفقرتين السابقتين تسجيل نفسها في السجل المذكور
وإيداع صك تأسيسها ونظامها الأساسي ديوان محكمة البداية في مركزها إذا
أرادت الاحتجاج بشخصيتها الاعتبارية حيال الغير",./crops\page_0014\page_0014_007_text.png,True
page_0014_008_paragraph_title,page_0014,14,8,paragraph_title,0.7521674633026123,738,1252,887,1294,149,42,1,0.9011,المادة٣١,./crops\page_0014\page_0014_008_paragraph_title.png,True
