box,label,det_score,n_lines,ocr_conf,text,crop
11,paragraph_title,0.374,1,0.493,الفصل,./layout_output_image\crops\box_011_paragraph_title.png
12,paragraph_title,0.367,2,0.492,الأمداف الإحدان,./layout_output_image\crops\box_012_paragraph_title.png
13,text,0.36,14,0.482,رئاسة الجمهوربة مرسوم رقم ٨٧٨ ١ لعام  ١ ٨٧ ١ إ لعآم بمز جب ٢ ٢٥١٩ = ٦ ٤ ٤ الازل ناربخ رنبس الجمهورية الإعلان الدستور بناء المرزم  ٨ ٢لربيع أحدام,./layout_output_image\crops\box_013_text.png
14,text,0.36,19,0.47,معل كل تحل الشركة المحدئة بمرجب دذا كات التابعة لها السؤسة العامة للننط الشركات التابعة لها فى المؤمسة من حقوف وما عايها من التزامات أيتما وردت في نسوص و احكام أو عقود او اتفاقيات مصدقة ب وجب العقود جميع بتمل تسريعية صوص والإدارية المالية والاتفاقيات   والحثوق   والالتزامات والفنية  امر مر العاءة الكربر,./layout_output_image\crops\box_014_text.png
15,paragraph_title,0.35,1,0.703,بلى :,./layout_output_image\crops\box_015_paragraph_title.png
16,text,0.34,2,0.455,(: يشر هذا المرسوم ويبلغ من يازم لتنقيذه  المادآ,./layout_output_image\crops\box_016_text.png
17,text,0.333,10,0.512,العبارات الائبة بقصد بلكلسات المدة ض تطبق بدفب كل سنبا  الوزارة : وزارة الطافة احكام السين المنى المرمدم,./layout_output_image\crops\box_017_text.png
18,text,0.323,72,0.484,"جتفزربه العربيه الجمهوربة مرسوم رقم ٨٧٨ ١ لعام بموجب المرسوم رقم  ٨٧ ١رلعآم ٢ ٩ ١٥  ٧ ٤ ١٤ ٥ تاربخ ٨ ٢ ربيع رنبس الجمهورية الإعلان بناغ على برسم ما بلى : الصاج [: بعبن السيد المادة اللقل الهينة العامة للطبران معاونا الملبة , جوي للشوون الإدارية ابتصرف اللققة الناجسة عن دذا المادة النقل موازنة الهينة العاسة للطيران من يزم لتننيذه (: يشر هذا المرسوم ويبلغ , المادة رنبس الجمهوربة حمد مرسوم رقم /٨٩ ١ لعام بموجب المرسوم رقم ١٨٩٨ لعام ٢٥ ٩ ٢ ٢٩ ٥ ٢  تاربخ ٧ ربيع الآخر ١٤٤٧ نيس الجمهوربة على أحكام الإعلان الدستوري الفالون رقم  ٣ لعام ٢٤ المرسوم التشربعى رقم ٢٩٨ لعام تعدرلاته تلط يانه ر٨ ١ ٧ القآنون ٤٢ ١ ١ لدم وعلى المرسوم وعلى مقتضبات المصلدة الوطنية العليا برسم الأول التعريفات الانبآ العبارات بقصد بالكلسات المادة ١( السبن ض تطبق احكام مذا بحفب كل سنها , الوزارة : وزارة الطافة الوزبر : وزبر الطاتة SPC ) الشركة : الشركة السورية للبترول رذلرة المراسم  الأول أحكام  الاسنورب البارب المدنى _نمر المرمدم المتنى المري  النرع السل در المملى المرمرم",./layout_output_image\crops\box_018_text.png
19,text,0.319,9,0.472,تطوير بينة استثماربة احترافية ترتكز علي مراحل الاستثمار ببن جميا والتكامل الشركة   والجهات التابعة لها لتكون الذراع الوطني التطاع الربادي امناءة الحردة,./layout_output_image\crops\box_019_text.png
20,text,0.311,3,0.533,حكام الإعلان الدستور بناء على,./layout_output_image\crops\box_020_text.png
21,text,0.309,8,0.427,الشركة السوربة للبترول SFC مدل بحر لل اسم المؤسسة المامة للئذط - التشريية الصكو ابنما وردت بالتزارات اكرير,./layout_output_image\crops\box_021_text.png
22,text,0.306,5,0.517,الغاز بكاذة انشطته الإئتاجبة فطاع النفمط النطاع المندآ الخدمية,./layout_output_image\crops\box_022_text.png
23,text,0.302,8,0.445,تعزيز العاز الدلسيآ للنئدط ج- دخرل الإفليمي و الدولى الفدرة التنافسية على الاسراف  لممذوى,./layout_output_image\crops\box_023_text.png
24,text,0.302,4,0.497,المساءلن الثذافبة تسكبن الدوكسة الرتبدة إدارة القطاع وفق افضل الممارسات الدولية,./layout_output_image\crops\box_024_text.png
25,text,0.298,7,0.449,السهنبة بسا لها تبتى إدارة المعاهد النتنية مر اذق عير سقولة سن سمتلكات واصول منتولة تعت إشراف الوزارة و إدارتها المدارر,./layout_output_image\crops\box_025_text.png
26,text,0.284,1,0.815,رنبس الجمهورية,./layout_output_image\crops\box_026_text.png
27,text,0.273,3,0.379,S['C الشركة السررية للبترول الشركة,./layout_output_image\crops\box_027_text.png
28,text,0.27,7,0.426,لتننيذه .  ويبلغ من يازم (: بنر هذا المادآ رنبس الجمهورية احمد السرع امرسرم,./layout_output_image\crops\box_028_text.png
29,text,0.266,4,0.378,لنركة الرنيس الرئيس التنلبدب  التفردي,./layout_output_image\crops\box_029_text.png
30,paragraph_title,0.261,4,0.297,إلى تدقرقق مايلي : المادة ا:بلاذ المرموم,./layout_output_image\crops\box_030_paragraph_title.png
31,text,0.257,4,0.525,الوزبر : وزبر الطاتة SPC الشركة السورية للبترول الشركة,./layout_output_image\crops\box_031_text.png
32,text,0.255,6,0.368,٨٧٧ بمز جب ٢ ٩ ٥ ٧ ٤ ١٤ تاربخ ٨ ٢ ربيع الآول المرحرم,./layout_output_image\crops\box_032_text.png
33,text,0.255,16,0.486,البري ببن المادة النقج نبس الهنة العامة للطبران معاونا  للشؤون الإدارية و المالبة اتصرف الئفئة الناجسة عن حذا المادة النفل موازنة الهينة العاسة  المدنى الجرى المرمدم لدنر لاعلىران,./layout_output_image\crops\box_033_text.png
34,text,0.252,2,0.89,مجلس إدارة الشركة المبلس,./layout_output_image\crops\box_034_text.png
35,paragraph_title,0.251,5,0.674,التاني الاهداف لإحدان اللصل المبام,./layout_output_image\crops\box_035_paragraph_title.png
